## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT good_mapq.EZPLDC --OUTPUT good_mapq.out.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Aug 06 17:14:11 PDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
149	143	49	2	14585576	169.203108	93.041654	9857	FR	17	33	53	75	99	125	157	201	293	427	687			
8571724.5	19564	8552160.5	19564	17123885	8571724.5	12094581.366691	2	RF	17104321	17104321	17104321	17104321	17104321	17104323	17104323	17104323	17104323	17104323	17104323			
0	0	0	0	0	0	0	0	TANDEM	0	0	0	0	0	0	0	0	0	0	0			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count
2	1	0
3	3	0
4	1	0
5	1	0
6	1	0
7	3	0
8	2	0
10	2	0
11	2	0
12	1	0
16	2	0
18	2	0
21	1	0
22	3	0
23	3	0
24	9	0
25	6	0
26	6	0
27	8	0
28	21	0
29	14	0
30	17	0
31	14	0
32	8	0
33	9	0
34	3	0
35	10	0
36	16	0
37	17	0
38	17	0
39	20	0
40	12	0
41	21	0
42	19	0
43	21	0
44	19	0
45	19	0
46	15	0
47	23	0
48	21	0
49	20	0
50	19	0
51	26	0
52	24	0
53	21	0
54	16	0
55	16	0
56	24	0
57	24	0
58	24	0
59	23	0
60	26	0
61	30	0
62	25	0
63	29	0
64	38	0
65	18	0
66	13	0
67	22	0
68	29	0
69	30	0
70	33	0
71	29	0
72	36	0
73	30	0
74	36	0
75	35	0
76	33	0
77	25	0
78	34	0
79	44	0
80	39	0
81	46	0
82	44	0
83	35	0
84	39	0
85	37	0
86	34	0
87	43	0
88	38	0
89	43	0
90	39	0
91	63	0
92	49	0
93	60	0
94	52	0
95	39	0
96	48	0
97	37	0
98	39	0
99	41	0
100	50	0
101	44	0
102	67	0
103	46	0
104	43	0
105	39	0
106	50	0
107	38	0
108	50	0
109	42	0
110	51	0
111	55	0
112	55	0
113	53	0
114	42	0
115	64	0
116	49	0
117	45	0
118	50	0
119	55	0
120	60	0
121	75	0
122	66	0
123	67	0
124	49	0
125	56	0
126	52	0
127	53	0
128	56	0
129	55	0
130	66	0
131	58	0
132	65	0
133	76	0
134	69	0
135	65	0
136	69	0
137	59	0
138	58	0
139	59	0
140	65	0
141	63	0
142	63	0
143	84	0
144	64	0
145	54	0
146	82	0
147	61	0
148	72	0
149	56	0
150	51	0
151	62	0
152	61	0
153	60	0
154	58	0
155	61	0
156	44	0
157	60	0
158	57	0
159	52	0
160	60	0
161	50	0
162	48	0
163	53	0
164	46	0
165	44	0
166	45	0
167	44	0
168	47	0
169	41	0
170	43	0
171	34	0
172	41	0
173	47	0
174	33	0
175	39	0
176	45	0
177	36	0
178	31	0
179	46	0
180	40	0
181	33	0
182	32	0
183	38	0
184	42	0
185	37	0
186	39	0
187	32	0
188	41	0
189	26	0
190	38	0
191	33	0
192	40	0
193	31	0
194	32	0
195	36	0
196	36	0
197	24	0
198	35	0
199	36	0
200	31	0
201	29	0
202	29	0
203	24	0
204	24	0
205	29	0
206	27	0
207	27	0
208	25	0
209	27	0
210	36	0
211	22	0
212	31	0
213	21	0
214	29	0
215	33	0
216	24	0
217	24	0
218	23	0
219	21	0
220	24	0
221	23	0
222	21	0
223	33	0
224	32	0
225	25	0
226	16	0
227	22	0
228	16	0
229	16	0
230	20	0
231	22	0
232	22	0
233	18	0
234	24	0
235	22	0
236	26	0
237	17	0
238	20	0
239	30	0
240	22	0
241	20	0
242	14	0
243	14	0
244	15	0
245	23	0
246	19	0
247	18	0
248	16	0
249	21	0
250	19	0
251	17	0
252	20	0
253	17	0
254	21	0
255	11	0
256	10	0
257	14	0
258	14	0
259	20	0
260	9	0
261	15	0
262	17	0
263	11	0
264	12	0
265	17	0
266	16	0
267	14	0
268	15	0
269	10	0
270	13	0
271	14	0
272	14	0
273	12	0
274	12	0
275	12	0
276	13	0
277	16	0
278	14	0
279	11	0
280	17	0
281	13	0
282	9	0
283	9	0
284	8	0
285	15	0
286	15	0
287	10	0
288	11	0
289	9	0
290	13	0
291	6	0
292	5	0
293	11	0
294	10	0
295	6	0
296	12	0
297	10	0
298	16	0
299	9	0
300	8	0
301	8	0
302	11	0
303	8	0
304	11	0
305	9	0
306	8	0
307	13	0
308	3	0
309	7	0
310	8	0
311	3	0
312	11	0
313	6	0
314	9	0
315	4	0
316	5	0
317	11	0
318	11	0
319	7	0
320	10	0
321	10	0
322	5	0
323	7	0
324	8	0
325	4	0
326	5	0
327	10	0
328	4	0
329	7	0
330	10	0
331	5	0
332	12	0
333	3	0
334	6	0
335	6	0
336	12	0
337	7	0
338	2	0
339	7	0
340	6	0
341	11	0
342	10	0
343	9	0
344	7	0
345	9	0
346	7	0
347	6	0
348	5	0
349	5	0
350	4	0
351	6	0
352	4	0
353	3	0
354	4	0
355	3	0
356	5	0
357	5	0
358	6	0
359	8	0
360	8	0
361	4	0
362	7	0
363	9	0
364	6	0
365	6	0
366	8	0
367	4	0
368	5	0
369	2	0
370	4	0
371	5	0
372	2	0
373	6	0
374	5	0
375	1	0
376	4	0
377	8	0
378	9	0
379	7	0
380	5	0
381	7	0
382	2	0
383	1	0
384	4	0
385	3	0
386	4	0
387	6	0
388	2	0
389	6	0
390	3	0
391	5	0
392	6	0
393	5	0
394	2	0
395	8	0
396	6	0
397	2	0
398	6	0
399	2	0
400	2	0
401	6	0
402	1	0
403	1	0
404	5	0
406	5	0
407	3	0
408	1	0
409	4	0
410	5	0
411	5	0
412	3	0
413	2	0
414	5	0
415	1	0
416	3	0
417	4	0
418	3	0
419	3	0
420	3	0
421	1	0
422	2	0
423	3	0
424	7	0
425	1	0
426	1	0
427	3	0
428	2	0
429	6	0
430	2	0
431	2	0
432	2	0
433	1	0
434	3	0
435	4	0
436	3	0
437	3	0
438	5	0
439	2	0
440	1	0
441	3	0
442	5	0
443	2	0
444	3	0
445	5	0
446	2	0
447	1	0
448	1	0
449	4	0
451	3	0
454	1	0
455	3	0
456	3	0
457	5	0
458	3	0
459	2	0
460	2	0
461	4	0
462	3	0
463	1	0
465	3	0
466	3	0
467	2	0
468	1	0
470	2	0
471	2	0
473	2	0
474	3	0
476	1	0
477	3	0
478	2	0
479	1	0
480	2	0
485	2	0
486	1	0
488	2	0
489	2	0
490	1	0
491	2	0
492	2	0
493	5	0
494	6	0
495	3	0
496	1	0
497	2	0
499	2	0
500	1	0
501	1	0
504	2	0
505	2	0
506	1	0
511	1	0
512	1	0
513	1	0
516	1	0
517	4	0
518	2	0
519	2	0
521	2	0
525	1	0
526	1	0
527	1	0
530	1	0
531	1	0
532	2	0
533	2	0
534	1	0
535	1	0
536	1	0
537	1	0
538	1	0
539	1	0
540	2	0
541	1	0
542	1	0
543	3	0
546	1	0
547	1	0
548	1	0
552	1	0
554	1	0
556	1	0
562	1	0
563	1	0
564	1	0
567	1	0
571	1	0
573	1	0
576	2	0
595	1	0
599	1	0
601	1	0
602	1	0
607	1	0
609	1	0
618	1	0
620	1	0
626	1	0
627	1	0
628	1	0
634	1	0
19564	0	1
17123885	0	1

