Strand  Read    Position        nMethylated     nUnmethylated
OT      1       1       11607   366912
OT      2       1       13110   303865
OT      1       2       21015   330999
OT      2       2       19101   361828
OT      1       3       20797   369198
OT      2       3       19147   381084
OT      1       4       14318   354535
OT      2       4       15119   371771
OT      1       5       11635   362908
OT      2       5       13848   375741
OT      1       6       11054   374919
OT      2       6       13663   385048
OT      1       7       10562   379660
OT      2       7       13458   383755
OT      1       8       10526   395836
OT      2       8       13417   395392
OT      1       9       10137   392236
OT      2       9       13203   391606
OT      1       10      10124   397365
OT      2       10      13148   397498
OT      1       11      9961    398566
OT      2       11      12905   395971
OT      1       12      10296   390977
OT      2       12      13230   393071
OT      1       13      10531   397178
OT      2       13      13464   394079
OT      1       14      10491   391407
OT      2       14      13531   392521
OT      1       15      10677   390138
OT      2       15      13204   390948
OT      1       16      11106   390887
OT      2       16      13708   392136
OT      1       17      11383   392519
OT      2       17      13919   392598
OT      1       18      11654   396612
OT      2       18      14271   395876
OT      1       19      12088   397744
OT      2       19      14337   396945
OT      1       20      12371   401236
OT      2       20      14453   398882
OT      1       21      12733   403696
OT      2       21      14624   399373
OT      1       22      12766   404151
OT      2       22      14715   399567
OT      1       23      13080   404232
OT      2       23      14929   399718
OT      1       24      13278   399773
OT      2       24      14993   397654
OT      1       25      13327   397228
OT      2       25      14836   394327
OT      1       26      13573   394702
OT      2       26      15030   394910
OT      1       27      14047   393442
OT      2       27      15282   393298
OT      1       28      14102   395594
OT      2       28      15288   395894
OT      1       29      14580   396928
OT      2       29      15810   396480
OT      1       30      14799   400538
OT      2       30      15794   399261
OT      1       31      15170   402441
OT      2       31      15920   400177
OT      1       32      15081   402550
OT      2       32      15855   399944
OT      1       33      15193   402961
OT      2       33      15638   399782
OT      1       34      15148   400937
OT      2       34      15810   398313
OT      1       35      15124   398256
OT      2       35      15676   396017
OT      1       36      15011   395770
OT      2       36      15772   395631
OT      1       37      15091   394861
OT      2       37      15763   394699
OT      1       38      15081   394065
OT      2       38      15693   394526
OT      1       39      15592   396293
OT      2       39      16241   397861
OT      1       40      15841   399261
OT      2       40      16066   399387
OT      1       41      15959   401198
OT      2       41      16158   399220
OT      1       42      15707   401168
OT      2       42      15888   398869
OT      1       43      15505   399970
OT      2       43      15696   396883
OT      1       44      15856   400011
OT      2       44      16000   397144
OT      1       45      15495   396909
OT      2       45      15584   395105
OT      1       46      15578   393201
OT      2       46      15481   392200
OT      1       47      15236   391513
OT      2       47      15622   392016
OT      1       48      15052   390614
OT      2       48      15383   391659
OT      1       49      15376   391921
OT      2       49      15714   392090
OT      1       50      15305   393603
OT      2       50      15768   393824
OT      1       51      15335   394614
OT      2       51      15586   394596
OT      1       52      15848   394620
OT      2       52      15589   394353
OT      1       53      15854   393249
OT      2       53      15374   392024
OT      1       54      15402   393737
OT      2       54      15392   391891
OT      1       55      15407   391637
OT      2       55      15448   389674
OT      1       56      15412   389083
OT      2       56      14961   388465
OT      1       57      15260   387905
OT      2       57      15305   387570
OT      1       58      15143   385900
OT      2       58      15114   386440
OT      1       59      15502   383430
OT      2       59      15267   385491
OT      1       60      15239   386225
OT      2       60      15222   387268
OT      1       61      15045   386017
OT      2       61      15095   387646
OT      1       62      15679   387327
OT      2       62      15268   386922
OT      1       63      15065   388214
OT      2       63      14992   387749
OT      1       64      14858   386074
OT      2       64      14948   383830
OT      1       65      14778   384594
OT      2       65      14575   382330
OT      1       66      14590   381236
OT      2       66      14707   379926
OT      1       67      14601   379367
OT      2       67      14619   378580
OT      1       68      14539   379105
OT      2       68      14755   378997
OT      1       69      14474   377081
OT      2       69      14769   377485
OT      1       70      14882   375466
OT      2       70      14660   376429
OT      1       71      15067   378401
OT      2       71      14692   376858
OT      1       72      14606   376652
OT      2       72      14727   377313
OT      1       73      14703   375395
OT      2       73      14369   374576
OT      1       74      14568   374485
OT      2       74      14503   373578
OT      1       75      14384   372135
OT      2       75      14548   370231
OT      1       76      14422   368666
OT      2       76      14269   367474
OT      1       77      14318   367674
OT      2       77      14284   366656
OT      1       78      14336   365169
OT      2       78      14252   365324
OT      1       79      14159   363541
OT      2       79      14100   364076
OT      1       80      14155   362796
OT      2       80      14163   363979
OT      1       81      14478   363793
OT      2       81      14232   364569
OT      1       82      14063   361932
OT      2       82      14112   362336
OT      1       83      14274   361991
OT      2       83      14134   361529
OT      1       84      14128   358975
OT      2       84      13814   360233
OT      1       85      13823   357320
OT      2       85      13562   356320
OT      1       86      13743   353946
OT      2       86      13515   354623
OT      1       87      13500   351396
OT      2       87      13502   351090
OT      1       88      13577   348782
OT      2       88      13435   348869
OT      1       89      13405   347254
OT      2       89      13634   347295
OT      1       90      13518   346285
OT      2       90      13485   346800
OT      1       91      13834   345981
OT      2       91      13530   346157
OT      1       92      13683   345697
OT      2       92      13342   345615
OT      1       93      13630   346230
OT      2       93      13426   344313
OT      1       94      13310   343346
OT      2       94      13081   341647
OT      1       95      13231   341268
OT      2       95      12938   339180
OT      1       96      13246   336832
OT      2       96      12749   335220
OT      1       97      12809   332906
OT      2       97      12681   331549
OT      1       98      12978   331122
OT      2       98      12680   330096
OT      1       99      12881   330766
OT      2       99      12602   329566
OT      1       100     12635   329307
OT      2       100     12612   328135
OT      1       101     12979   327729
OT      2       101     12656   327660
OT      1       102     12915   327660
OT      2       102     12557   326025
OT      1       103     12912   325912
OT      2       103     12396   323881
OT      1       104     12780   324821
OT      2       104     12207   321469
OT      1       105     12664   321310
OT      2       105     12021   319744
OT      1       106     12414   317714
OT      2       106     12012   315019
OT      1       107     12257   315502
OT      2       107     11825   313758
OT      1       108     12230   311190
OT      2       108     11839   309794
OT      1       109     12229   307846
OT      2       109     11677   308757
OT      1       110     12135   306992
OT      2       110     11659   307356
OT      1       111     12025   307381
OT      2       111     11614   307419
OT      1       112     12142   306149
OT      2       112     11454   305600
OT      1       113     12126   305148
OT      2       113     11283   304134
OT      1       114     12018   303166
OT      2       114     11127   300576
OT      1       115     11978   299959
OT      2       115     11137   296635
OT      1       116     11566   295913
OT      2       116     10815   292986
OT      1       117     11372   292047
OT      2       117     10472   290392
OT      1       118     11600   288674
OT      2       118     10635   288117
OT      1       119     11324   286407
OT      2       119     10470   287112
OT      1       120     11366   284429
OT      2       120     10522   285968
OT      1       121     11472   282409
OT      2       121     10534   283610
OT      1       122     11138   281316
OT      2       122     10376   281992
OT      1       123     11289   279824
OT      2       123     9975    278771
OT      1       124     11157   277019
OT      2       124     9814    274467
OT      1       125     10737   273752
OT      2       125     9543    270800
OT      1       126     10554   271202
OT      2       126     9440    267985
OT      1       127     10552   267110
OT      2       127     9353    264115
OT      1       128     10498   261870
OT      2       128     9282    261595
OT      1       129     10370   259382
OT      2       129     9382    259771
OT      1       130     10500   257904
OT      2       130     9389    258383
OT      1       131     10176   257074
OT      2       131     9127    256264
OT      1       132     10209   253585
OT      2       132     8885    253085
OT      1       133     10157   250995
OT      2       133     8737    249714
OT      1       134     10157   249486
OT      2       134     8624    245705
OT      1       135     9987    245633
OT      2       135     8470    242494
OT      1       136     9915    241955
OT      2       136     8205    239485
OT      1       137     9517    239944
OT      2       137     7949    235749
OT      1       138     9650    236494
OT      2       138     8037    232164
OT      1       139     9528    232169
OT      2       139     7834    229334
OT      1       140     9405    229428
OT      2       140     7902    228497
OT      1       141     9387    227974
OT      2       141     7629    226328
OT      1       142     9320    224930
OT      2       142     7205    222978
OT      1       143     9385    223073
OT      2       143     7213    218107
OT      1       144     9161    219811
OT      2       144     6796    217517
OT      1       145     8858    218424
OT      2       145     6760    220599
OT      1       146     8807    214084
OT      2       146     6572    218662
OT      1       147     8674    210627
OT      2       147     7137    210780
OT      1       148     8685    208356
OT      2       148     7814    199420
OT      1       149     8503    203940
OT      2       149     9213    198957
OT      1       150     8278    197861
OT      2       150     12354   186789
OT      1       151     7510    186146
OT      2       151     7180    83283
OB      1       1       27776   496808
OB      2       1       32954   363119
OB      1       2       19983   395906
OB      2       2       21430   406965
OB      1       3       16024   384557
OB      2       3       14153   365523
OB      1       4       15024   396353
OB      2       4       13052   386883
OB      1       5       13607   399519
OB      2       5       10915   399830
OB      1       6       13041   398781
OB      2       6       10830   407289
OB      1       7       13507   400076
OB      2       7       11244   396282
OB      1       8       13826   392892
OB      2       8       11730   385606
OB      1       9       14155   398972
OB      2       9       11965   392841
OB      1       10      14341   396157
OB      2       10      12455   395290
OB      1       11      14410   399787
OB      2       11      12803   396456
OB      1       12      14355   394844
OB      2       12      12954   392844
OB      1       13      14664   395923
OB      2       13      12973   388290
OB      1       14      14540   395295
OB      2       14      12762   390691
OB      1       15      14562   395250
OB      2       15      12945   390855
OB      1       16      14692   399938
OB      2       16      13280   394929
OB      1       17      15102   400703
OB      2       17      13455   395028
OB      1       18      14989   398717
OB      2       18      13534   397401
OB      1       19      15109   401194
OB      2       19      13620   398981
OB      1       20      15215   399141
OB      2       20      13813   400155
OB      1       21      15217   402206
OB      2       21      13744   400647
OB      1       22      14899   399705
OB      2       22      13897   398343
OB      1       23      15167   398232
OB      2       23      13954   396506
OB      1       24      14934   396597
OB      2       24      13428   394802
OB      1       25      15228   398761
OB      2       25      13820   393089
OB      1       26      15192   399313
OB      2       26      13841   394996
OB      1       27      15190   400440
OB      2       27      14184   397518
OB      1       28      15365   403510
OB      2       28      14316   401104
OB      1       29      15796   404268
OB      2       29      14677   403245
OB      1       30      15551   403962
OB      2       30      14665   403493
OB      1       31      15533   403034
OB      2       31      14657   403282
OB      1       32      15775   399794
OB      2       32      14700   400303
OB      1       33      15604   398330
OB      2       33      14560   396879
OB      1       34      15240   397280
OB      2       34      14342   394710
OB      1       35      15509   398387
OB      2       35      14775   394578
OB      1       36      15318   398405
OB      2       36      14555   396086
OB      1       37      15862   401784
OB      2       37      14839   398331
OB      1       38      15646   402656
OB      2       38      14845   400314
OB      1       39      15728   400930
OB      2       39      14835   400464
OB      1       40      15580   401878
OB      2       40      15162   401999
OB      1       41      15834   399982
OB      2       41      15287   400814
OB      1       42      15459   397328
OB      2       42      14992   397949
OB      1       43      15520   396788
OB      2       43      15123   394768
OB      1       44      15479   395404
OB      2       44      14789   394115
OB      1       45      15370   395043
OB      2       45      14852   392271
OB      1       46      15647   396880
OB      2       46      15038   392873
OB      1       47      15650   397482
OB      2       47      14857   392594
OB      1       48      15388   396068
OB      2       48      14783   394454
OB      1       49      15526   397606
OB      2       49      15212   395141
OB      1       50      15429   396968
OB      2       50      15143   395993
OB      1       51      15411   394909
OB      2       51      15208   395023
OB      1       52      15404   393146
OB      2       52      15289   392748
OB      1       53      15263   391544
OB      2       53      14974   390455
OB      1       54      15160   388833
OB      2       54      15107   388083
OB      1       55      15269   390360
OB      2       55      14755   387687
OB      1       56      15208   390839
OB      2       56      14705   388244
OB      1       57      15357   390637
OB      2       57      14533   388671
OB      1       58      15135   390262
OB      2       58      14761   389061
OB      1       59      15112   388364
OB      2       59      14788   387646
OB      1       60      15198   387924
OB      2       60      14887   389072
OB      1       61      15232   388659
OB      2       61      14799   388321
OB      1       62      15081   384300
OB      2       62      14982   385816
OB      1       63      15036   382388
OB      2       63      14546   383538
OB      1       64      14568   381650
OB      2       64      14651   381530
OB      1       65      14926   380464
OB      2       65      14618   379677
OB      1       66      14689   378833
OB      2       66      14634   379177
OB      1       67      14792   381013
OB      2       67      14526   380078
OB      1       68      14901   380471
OB      2       68      14443   380082
OB      1       69      14730   379436
OB      2       69      14597   379214
OB      1       70      14755   377536
OB      2       70      14512   378626
OB      1       71      14667   376256
OB      2       71      14505   375813
OB      1       72      14423   373446
OB      2       72      14330   374428
OB      1       73      14348   371772
OB      2       73      14233   372032
OB      1       74      14314   367945
OB      2       74      14095   369198
OB      1       75      14059   366637
OB      2       75      13896   366823
OB      1       76      14092   366282
OB      2       76      14028   364952
OB      1       77      14072   366598
OB      2       77      13972   365699
OB      1       78      14091   365386
OB      2       78      13927   366478
OB      1       79      14053   366787
OB      2       79      14006   366086
OB      1       80      14166   364837
OB      2       80      14008   366660
OB      1       81      13913   363358
OB      2       81      13784   363807
OB      1       82      13900   360263
OB      2       82      14043   360997
OB      1       83      13803   356917
OB      2       83      13874   357723
OB      1       84      13587   353986
OB      2       84      13602   354633
OB      1       85      13555   352599
OB      2       85      13735   350898
OB      1       86      13356   350198
OB      2       86      13292   348573
OB      1       87      13425   350658
OB      2       87      13296   349097
OB      1       88      13232   349275
OB      2       88      13192   348196
OB      1       89      13390   349441
OB      2       89      13244   350107
OB      1       90      13499   346322
OB      2       90      13194   348402
OB      1       91      13393   346846
OB      2       91      13251   346826
OB      1       92      13170   343955
OB      2       92      13270   344142
OB      1       93      13334   338870
OB      2       93      13460   340652
OB      1       94      12826   336189
OB      2       94      12951   336641
OB      1       95      12929   333558
OB      2       95      12964   332900
OB      1       96      12718   332333
OB      2       96      12713   331354
OB      1       97      12556   331529
OB      2       97      12587   329241
OB      1       98      12731   331085
OB      2       98      12789   329644
OB      1       99      12809   327910
OB      2       99      12815   327301
OB      1       100     12526   328496
OB      2       100     12671   328261
OB      1       101     12552   326539
OB      2       101     12734   327477
OB      1       102     12359   323290
OB      2       102     12852   324827
OB      1       103     12030   320153
OB      2       103     12578   321600
OB      1       104     11837   316172
OB      2       104     12266   317479
OB      1       105     11962   314064
OB      2       105     12189   314889
OB      1       106     11748   312927
OB      2       106     11983   312544
OB      1       107     11490   311500
OB      2       107     11985   310179
OB      1       108     11771   309019
OB      2       108     11954   308037
OB      1       109     11532   308963
OB      2       109     11852   307563
OB      1       110     11558   308112
OB      2       110     11788   306905
OB      1       111     11437   305863
OB      2       111     11816   305414
OB      1       112     11363   302884
OB      2       112     11653   303807
OB      1       113     11184   299974
OB      2       113     11757   300637
OB      1       114     10937   296401
OB      2       114     11591   296811
OB      1       115     10582   292814
OB      2       115     11422   293862
OB      1       116     10726   290997
OB      2       116     11488   291001
OB      1       117     10443   290032
OB      2       117     11125   287407
OB      1       118     10278   287641
OB      2       118     11022   285777
OB      1       119     10436   285949
OB      2       119     10948   283168
OB      1       120     10270   284641
OB      2       120     10986   282865
OB      1       121     10171   282263
OB      2       121     10939   281607
OB      1       122     9893    278827
OB      2       122     11127   279312
OB      1       123     9627    274822
OB      2       123     10880   276519
OB      1       124     9367    271419
OB      2       124     10738   273028
OB      1       125     9095    268208
OB      2       125     10612   267946
OB      1       126     8814    265486
OB      2       126     10526   264016
OB      1       127     8776    263678
OB      2       127     10379   261675
OB      1       128     8792    261533
OB      2       128     10374   259213
OB      1       129     8306    259935
OB      2       129     10257   256934
OB      1       130     8322    257533
OB      2       130     10348   254553
OB      1       131     8152    254366
OB      2       131     10291   252888
OB      1       132     7836    251622
OB      2       132     10007   251304
OB      1       133     7823    248006
OB      2       133     10199   247858
OB      1       134     7359    243311
OB      2       134     9959    244639
OB      1       135     7079    238741
OB      2       135     9775    241515
OB      1       136     6966    235820
OB      2       136     9729    237365
OB      1       137     6692    233297
OB      2       137     9467    234684
OB      1       138     6629    230625
OB      2       138     9508    231892
OB      1       139     6581    229703
OB      2       139     9287    228615
OB      1       140     6365    226097
OB      2       140     9304    226788
OB      1       141     6289    223943
OB      2       141     9153    224847
OB      1       142     6318    220392
OB      2       142     8982    222285
OB      1       143     6127    216973
OB      2       143     8998    218853
OB      1       144     6199    211916
OB      2       144     8890    215386
OB      1       145     6433    204572
OB      2       145     8760    213050
OB      1       146     6577    198332
OB      2       146     8853    208907
OB      1       147     7173    190236
OB      2       147     8618    205669
OB      1       148     8295    182730
OB      2       148     8351    203155
OB      1       149     9445    173910
OB      2       149     8047    199123
OB      1       150     7357    151661
OB      2       150     7751    190200
OB      1       151     2723    101662
OB      2       151     3024    0
