"chrom","context","total_reads","mean_meth","median_meth","sd_meth"
"OR482510.1","CpG",174,3.08823529411765,0,12.4896796729088
"genome_hic_scaffold_10_RagTag","CpG",754688,76.770290459285,100,40.27233897988
"genome_hic_scaffold_11_RagTag","CpG",680724,76.8882414286584,100,40.2351331197176
"genome_hic_scaffold_12_RagTag","CpG",707330,76.4791756370252,100,40.3991747909362
"genome_hic_scaffold_13_RagTag","CpG",692598,76.2588126002871,100,40.5991241043539
"genome_hic_scaffold_14_RagTag","CpG",678543,76.9722109463558,100,40.1475931544629
"genome_hic_scaffold_15_RagTag","CpG",699128,77.2073767469609,100,39.9738445885893
"genome_hic_scaffold_16_RagTag","CpG",537569,77.6755229813426,100,39.6854945232465
"genome_hic_scaffold_17_RagTag","CpG",620048,77.0527830611578,100,40.1002181994529
"genome_hic_scaffold_18_RagTag","CpG",616823,77.9505269733369,100,39.4988546805569
"genome_hic_scaffold_19_RagTag","CpG",715758,76.4946908239015,100,40.4299072601491
"genome_hic_scaffold_1_RagTag","CpG",902890,77.4853366383469,100,39.7647181644981
"genome_hic_scaffold_20_RagTag","CpG",675626,77.1886942522567,100,39.9402918957142
"genome_hic_scaffold_21_RagTag","CpG",558155,77.1575727283666,100,39.9649332564891
"genome_hic_scaffold_22_RagTag","CpG",637993,77.3082642416666,100,39.9054904538818
"genome_hic_scaffold_23_RagTag","CpG",516100,77.3964094280235,100,39.8351704251491
"genome_hic_scaffold_24_RagTag","CpG",401277,78.1832874493927,100,39.2810684801362
"genome_hic_scaffold_2_RagTag","CpG",853603,77.6957697205851,100,39.5950722917067
"genome_hic_scaffold_3_RagTag","CpG",726811,76.1939898093792,100,40.5845823663989
"genome_hic_scaffold_4_RagTag","CpG",658760,76.6802980583559,100,40.2774380362647
"genome_hic_scaffold_5_RagTag","CpG",839888,77.5135106815744,100,39.804985904532
"genome_hic_scaffold_6_RagTag","CpG",811797,77.6588254491875,100,39.6650049882317
"genome_hic_scaffold_7_RagTag","CpG",713112,76.8837894191023,100,40.1548688342292
"genome_hic_scaffold_8_RagTag","CpG",722746,76.0300504825273,100,40.7361471048637
"genome_hic_scaffold_9_RagTag","CpG",788096,76.9940084973981,100,40.1208834124943
"phage_lambda","CpG",2052,3.44590726960504,0,17.3346490089652
"plasmid_puc19c","CpG",240,96.6850828729282,100,17.1611722151679
"ptg000052l_RagTag","CpG",289,57.6068376068376,50,40.7138791181102
"ptg000056l_RagTag","CpG",4322,86.8461775585697,100,31.8473087868709
"ptg000058l_RagTag","CpG",1710,85.5949090909091,100,33.5849242315035
"ptg000064l_RagTag","CpG",89,71.8524590163934,100,43.2592325658442
"ptg000065l_RagTag","CpG",32,93.75,100,24.5934688418982
