"chrom","context","reads","av_meth"
"OR482510.1","CHG",199,1.78048780487805
"OR482510.1","CHH",1281,3.56531049250535
"OR482510.1","CpG",174,3.08823529411765
"genome_hic_scaffold_10_RagTag","CHG",1536336,3.73783173144989
"genome_hic_scaffold_10_RagTag","CHH",4657285,3.59032758101611
"genome_hic_scaffold_11_RagTag","CHG",1327076,3.80839711510156
"genome_hic_scaffold_11_RagTag","CHH",4064864,3.63093552659834
"genome_hic_scaffold_12_RagTag","CHG",1529467,3.60633869966854
"genome_hic_scaffold_12_RagTag","CHH",4674969,3.55829995880095
"genome_hic_scaffold_13_RagTag","CHG",1386159,3.77804244948534
"genome_hic_scaffold_13_RagTag","CHH",4215585,3.67569191525631
"genome_hic_scaffold_14_RagTag","CHG",1373739,3.7706797944644
"genome_hic_scaffold_14_RagTag","CHH",4212044,3.62193788470418
"genome_hic_scaffold_15_RagTag","CHG",1432565,3.72091204136444
"genome_hic_scaffold_15_RagTag","CHH",4399751,3.5907397007032
"genome_hic_scaffold_16_RagTag","CHG",995495,3.93021373913784
"genome_hic_scaffold_16_RagTag","CHH",3036605,3.71432208202787
"genome_hic_scaffold_17_RagTag","CHG",1235280,3.85999799566144
"genome_hic_scaffold_17_RagTag","CHH",3794693,3.73891545399186
"genome_hic_scaffold_18_RagTag","CHG",1184971,3.92165633684037
"genome_hic_scaffold_18_RagTag","CHH",3620431,3.73025579333068
"genome_hic_scaffold_19_RagTag","CHG",1503829,3.71760885169409
"genome_hic_scaffold_19_RagTag","CHH",4588721,3.56888701023092
"genome_hic_scaffold_1_RagTag","CHG",1846572,3.77523507736423
"genome_hic_scaffold_1_RagTag","CHH",5571554,3.61776045069943
"genome_hic_scaffold_20_RagTag","CHG",1412128,3.72193398588664
"genome_hic_scaffold_20_RagTag","CHH",4336350,3.58656566415765
"genome_hic_scaffold_21_RagTag","CHG",1115198,3.7459144940393
"genome_hic_scaffold_21_RagTag","CHH",3445693,3.58561541763037
"genome_hic_scaffold_22_RagTag","CHG",1235488,3.80507568257539
