"chrom","avg_methylation","total_methylated_reads","total_unmethylated_reads"
"OR482510.1",1.78048780487805,6,193
"genome_hic_scaffold_10_RagTag",3.73783173144989,58148,1478188
"genome_hic_scaffold_11_RagTag",3.80839711510156,51190,1275886
"genome_hic_scaffold_12_RagTag",3.60633869966854,56065,1473402
"genome_hic_scaffold_13_RagTag",3.77804244948534,52941,1333218
"genome_hic_scaffold_14_RagTag",3.7706797944644,52519,1321220
"genome_hic_scaffold_15_RagTag",3.72091204136444,53933,1378632
"genome_hic_scaffold_16_RagTag",3.93021373913784,39592,955903
"genome_hic_scaffold_17_RagTag",3.85999799566144,48348,1186932
"genome_hic_scaffold_18_RagTag",3.92165633684037,47069,1137902
"genome_hic_scaffold_19_RagTag",3.71760885169409,56903,1446926
"genome_hic_scaffold_1_RagTag",3.77523507736423,70689,1775883
"genome_hic_scaffold_20_RagTag",3.72193398588664,53290,1358838
"genome_hic_scaffold_21_RagTag",3.7459144940393,42178,1073020
"genome_hic_scaffold_22_RagTag",3.80507568257539,47582,1187906
"genome_hic_scaffold_23_RagTag",3.84406513287095,38042,935664
"genome_hic_scaffold_24_RagTag",4.08619498699439,29743,684743
"genome_hic_scaffold_2_RagTag",3.69401642165998,67802,1744437
"genome_hic_scaffold_3_RagTag",3.65624582992912,55194,1435951
"genome_hic_scaffold_4_RagTag",3.67254971017544,51052,1313202
"genome_hic_scaffold_5_RagTag",3.72357529687234,64704,1655609
"genome_hic_scaffold_6_RagTag",3.72207580200142,62726,1605468
"genome_hic_scaffold_7_RagTag",3.79478415594418,56224,1406219
"genome_hic_scaffold_8_RagTag",3.66049405306496,58621,1519663
"genome_hic_scaffold_9_RagTag",3.71730754803093,62056,1583449
"phage_lambda",3.82416984213391,83,2057
"plasmid_puc19c",6.56363636363636,17,193
