"chrom","avg_methylation","total_methylated_reads","total_unmethylated_reads"
"OR482510.1",3.56531049250535,67,1214
"genome_hic_scaffold_10_RagTag",3.59032758101611,169109,4488176
"genome_hic_scaffold_11_RagTag",3.63093552659834,149774,3915090
"genome_hic_scaffold_12_RagTag",3.55829995880095,168974,4505995
"genome_hic_scaffold_13_RagTag",3.67569191525631,157488,4058097
"genome_hic_scaffold_14_RagTag",3.62193788470418,154895,4057149
"genome_hic_scaffold_15_RagTag",3.5907397007032,159992,4239759
"genome_hic_scaffold_16_RagTag",3.71432208202787,114503,2922102
"genome_hic_scaffold_17_RagTag",3.73891545399186,143479,3651214
"genome_hic_scaffold_18_RagTag",3.73025579333068,136775,3483656
"genome_hic_scaffold_19_RagTag",3.56888701023092,165990,4422731
"genome_hic_scaffold_1_RagTag",3.61776045069943,204063,5367491
"genome_hic_scaffold_20_RagTag",3.58656566415765,157350,4179000
"genome_hic_scaffold_21_RagTag",3.58561541763037,125141,3320552
"genome_hic_scaffold_22_RagTag",3.65068442279742,140830,3654080
"genome_hic_scaffold_23_RagTag",3.71081296476315,115456,2951321
"genome_hic_scaffold_24_RagTag",3.85383372982279,85690,2092387
"genome_hic_scaffold_2_RagTag",3.59198486735111,203004,5378307
"genome_hic_scaffold_3_RagTag",3.55758415553164,164887,4409299
"genome_hic_scaffold_4_RagTag",3.54707360660361,149369,3995353
"genome_hic_scaffold_5_RagTag",3.60054536311194,192571,5095054
"genome_hic_scaffold_6_RagTag",3.62455963637419,187246,4923043
"genome_hic_scaffold_7_RagTag",3.63576473967951,164217,4290476
"genome_hic_scaffold_8_RagTag",3.55587983802961,172686,4621117
"genome_hic_scaffold_9_RagTag",3.58853948193762,180797,4791250
"phage_lambda",4.70206401435836,185,3777
"plasmid_puc19c",3.11898734177215,20,495
