"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads"
"phage_lambda",133,134,0,0,1
"phage_lambda",137,138,0,0,1
"phage_lambda",138,139,0,0,1
"phage_lambda",139,140,0,0,1
"phage_lambda",145,146,0,0,1
"phage_lambda",146,147,100,1,0
"phage_lambda",147,148,0,0,1
"phage_lambda",148,149,0,0,1
"phage_lambda",159,160,0,0,1
"phage_lambda",160,161,0,0,1
"phage_lambda",164,165,0,0,1
"phage_lambda",174,175,0,0,1
"phage_lambda",180,181,0,0,1
"phage_lambda",181,182,0,0,1
"phage_lambda",185,186,0,0,1
"phage_lambda",192,193,0,0,1
"phage_lambda",193,194,0,0,1
"phage_lambda",196,197,0,0,1
"phage_lambda",198,199,0,0,1
"phage_lambda",201,202,0,0,1
"phage_lambda",207,208,0,0,1
"phage_lambda",214,215,0,0,1
"phage_lambda",219,220,0,0,1
"phage_lambda",229,230,0,0,1
"phage_lambda",233,234,0,0,1
"phage_lambda",242,243,0,0,1
"phage_lambda",243,244,0,0,1
"phage_lambda",255,256,0,0,1
"phage_lambda",259,260,0,0,1
"phage_lambda",265,266,0,0,1
"phage_lambda",266,267,0,0,1
"phage_lambda",270,271,0,0,1
"phage_lambda",271,272,0,0,2
"phage_lambda",283,284,0,0,1
"phage_lambda",284,285,0,0,1
"phage_lambda",289,290,0,0,1
"phage_lambda",290,291,0,0,1
"phage_lambda",291,292,0,0,2
"phage_lambda",294,295,0,0,1
"phage_lambda",295,296,0,0,1
"phage_lambda",296,297,100,1,0
"phage_lambda",301,302,0,0,1
"phage_lambda",303,304,0,0,1
"phage_lambda",304,305,0,0,1
"phage_lambda",306,307,0,0,1
"phage_lambda",307,308,0,0,2
"phage_lambda",313,314,0,0,1
"phage_lambda",315,316,0,0,2
"phage_lambda",327,328,0,0,2
"phage_lambda",335,336,0,0,1
"phage_lambda",336,337,0,0,1
"phage_lambda",340,341,0,0,1
"phage_lambda",347,348,0,0,1
"phage_lambda",348,349,0,0,1
"phage_lambda",349,350,0,0,1
"phage_lambda",352,353,0,0,1
"phage_lambda",382,383,0,0,1
"phage_lambda",384,385,0,0,1
