"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads"
"phage_lambda",150,151,0,0,1
"phage_lambda",152,153,0,0,1
"phage_lambda",166,167,0,0,1
"phage_lambda",168,169,0,0,1
"phage_lambda",176,177,0,0,1
"phage_lambda",208,209,0,0,1
"phage_lambda",210,211,0,0,1
"phage_lambda",211,212,0,0,1
"phage_lambda",213,214,0,0,1
"phage_lambda",215,216,0,0,1
"phage_lambda",217,218,0,0,1
"phage_lambda",227,228,0,0,1
"phage_lambda",237,238,0,0,1
"phage_lambda",247,248,0,0,1
"phage_lambda",249,250,0,0,1
"phage_lambda",252,253,0,0,1
"phage_lambda",254,255,0,0,1
"phage_lambda",256,257,0,0,1
"phage_lambda",258,259,0,0,1
"phage_lambda",262,263,0,0,2
"phage_lambda",264,265,0,0,1
"phage_lambda",272,273,0,0,2
"phage_lambda",277,278,0,0,2
"phage_lambda",279,280,0,0,1
"phage_lambda",287,288,0,0,1
"phage_lambda",317,318,0,0,2
"phage_lambda",319,320,0,0,1
"phage_lambda",320,321,0,0,2
"phage_lambda",323,324,0,0,2
"phage_lambda",341,342,0,0,2
"phage_lambda",353,354,0,0,2
"phage_lambda",373,374,0,0,2
"phage_lambda",378,379,0,0,1
"phage_lambda",381,382,0,0,1
"phage_lambda",394,395,0,0,1
"phage_lambda",396,397,0,0,1
"phage_lambda",399,400,0,0,1
"phage_lambda",400,401,0,0,1
"phage_lambda",402,403,0,0,1
"phage_lambda",405,406,0,0,1
"phage_lambda",407,408,0,0,1
"phage_lambda",415,416,0,0,1
"phage_lambda",423,424,0,0,1
"phage_lambda",427,428,0,0,1
"phage_lambda",466,467,0,0,1
"phage_lambda",468,469,0,0,1
"phage_lambda",470,471,0,0,1
"phage_lambda",478,479,0,0,1
"phage_lambda",480,481,0,0,1
"phage_lambda",484,485,0,0,1
"phage_lambda",486,487,0,0,1
"phage_lambda",495,496,0,0,1
"phage_lambda",497,498,0,0,1
"phage_lambda",503,504,0,0,1
"phage_lambda",506,507,0,0,1
"phage_lambda",508,509,0,0,1
"phage_lambda",521,522,0,0,1
"phage_lambda",528,529,0,0,2
"phage_lambda",541,542,0,0,2
"phage_lambda",554,555,0,0,2
"phage_lambda",567,568,0,0,2
"phage_lambda",589,590,0,0,1
"phage_lambda",598,599,0,0,1
"phage_lambda",610,611,0,0,1
"phage_lambda",616,617,0,0,1
"phage_lambda",624,625,0,0,1
"phage_lambda",640,641,0,0,1
"phage_lambda",676,677,0,0,1
"phage_lambda",684,685,0,0,1
"phage_lambda",693,694,0,0,1
"phage_lambda",700,701,0,0,1
"phage_lambda",708,709,0,0,1
"phage_lambda",726,727,0,0,1
"phage_lambda",730,731,0,0,1
"phage_lambda",738,739,0,0,1
"phage_lambda",742,743,0,0,1
"phage_lambda",745,746,0,0,1
"phage_lambda",754,755,0,0,1
"phage_lambda",759,760,0,0,1
"phage_lambda",762,763,0,0,1
"phage_lambda",773,774,0,0,1
"phage_lambda",775,776,0,0,1
"phage_lambda",778,779,0,0,2
"phage_lambda",780,781,0,0,1
"phage_lambda",782,783,0,0,2
