"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads","read_depth","per_base_coverage"
"phage_lambda",134,135,0,0,1,1,1
"phage_lambda",154,155,0,0,1,1,1
"phage_lambda",155,156,100,1,0,1,1
"phage_lambda",177,178,0,0,1,1,1
"phage_lambda",178,179,0,0,1,1,1
"phage_lambda",225,226,0,0,1,1,1
"phage_lambda",226,227,0,0,1,1,1
"phage_lambda",230,231,0,0,1,1,1
"phage_lambda",231,232,0,0,1,1,1
"phage_lambda",238,239,0,0,1,1,1
"phage_lambda",239,240,0,0,1,1,1
"phage_lambda",273,274,0,0,2,2,2
"phage_lambda",274,275,0,0,1,1,1
"phage_lambda",280,281,0,0,2,2,2
"phage_lambda",281,282,0,0,1,1,1
"phage_lambda",285,286,0,0,2,2,2
"phage_lambda",286,287,0,0,1,1,1
"phage_lambda",321,322,0,0,2,2,2
"phage_lambda",322,323,0,0,1,1,1
"phage_lambda",324,325,0,0,2,2,2
"phage_lambda",325,326,0,0,1,1,1
"phage_lambda",342,343,0,0,2,2,2
"phage_lambda",343,344,0,0,1,1,1
"phage_lambda",366,367,0,0,2,2,2
"phage_lambda",376,377,0,0,1,1,1
"phage_lambda",377,378,0,0,1,1,1
"phage_lambda",379,380,0,0,1,1,1
"phage_lambda",380,381,0,0,1,1,1
"phage_lambda",397,398,0,0,1,1,1
"phage_lambda",398,399,0,0,1,1,1
"phage_lambda",409,410,0,0,1,1,1
"phage_lambda",441,442,0,0,1,1,1
"phage_lambda",442,443,0,0,1,1,1
"phage_lambda",445,446,0,0,1,1,1
"phage_lambda",446,447,0,0,1,1,1
"phage_lambda",451,452,0,0,1,1,1
"phage_lambda",452,453,0,0,1,1,1
"phage_lambda",458,459,0,0,1,1,1
"phage_lambda",459,460,0,0,1,1,1
"phage_lambda",460,461,0,0,1,1,1
"phage_lambda",461,462,0,0,1,1,1
"phage_lambda",464,465,0,0,1,1,1
"phage_lambda",465,466,0,0,1,1,1
"phage_lambda",471,472,0,0,1,1,1
"phage_lambda",472,473,0,0,1,1,1
"phage_lambda",474,475,0,0,1,1,1
"phage_lambda",475,476,0,0,1,1,1
"phage_lambda",504,505,0,0,1,1,1
"phage_lambda",505,506,0,0,1,1,1
"phage_lambda",522,523,0,0,1,1,1
"phage_lambda",523,524,0,0,1,1,1
"phage_lambda",537,538,0,0,2,2,2
"phage_lambda",545,546,0,0,2,2,2
"phage_lambda",547,548,0,0,2,2,2
"phage_lambda",552,553,0,0,2,2,2
"phage_lambda",576,577,0,0,2,2,2
"phage_lambda",579,580,0,0,2,2,2
"phage_lambda",593,594,0,0,1,1,1
"phage_lambda",601,602,0,0,1,1,1
"phage_lambda",604,605,0,0,1,1,1
"phage_lambda",611,612,0,0,1,1,1
"phage_lambda",625,626,0,0,1,1,1
"phage_lambda",646,647,0,0,1,1,1
"phage_lambda",679,680,0,0,1,1,1
"phage_lambda",681,682,0,0,1,1,1
"phage_lambda",699,700,0,0,1,1,1
"phage_lambda",721,722,0,0,1,1,1
"phage_lambda",744,745,0,0,1,1,1
"phage_lambda",755,756,0,0,1,1,1
"phage_lambda",756,757,0,0,1,1,1
"phage_lambda",757,758,0,0,1,1,1
"phage_lambda",758,759,0,0,1,1,1
"phage_lambda",760,761,0,0,1,1,1
"phage_lambda",761,762,0,0,1,1,1
"phage_lambda",767,768,0,0,1,1,1
"phage_lambda",768,769,0,0,1,1,1
"phage_lambda",783,784,0,0,2,2,2
"phage_lambda",784,785,0,0,1,1,1
"phage_lambda",796,797,0,0,2,2,2
"phage_lambda",797,798,0,0,1,1,1
"phage_lambda",799,800,0,0,2,2,2
"phage_lambda",800,801,0,0,1,1,1
"phage_lambda",810,811,0,0,2,2,2
"phage_lambda",811,812,0,0,1,1,1
"phage_lambda",831,832,0,0,2,2,2
"phage_lambda",841,842,0,0,2,2,2
"phage_lambda",857,858,0,0,2,2,2
"phage_lambda",881,882,0,0,2,2,2
"phage_lambda",897,898,0,0,1,1,1
"phage_lambda",907,908,0,0,1,1,1
"phage_lambda",917,918,0,0,1,1,1
"phage_lambda",944,945,0,0,1,1,1
"phage_lambda",949,950,0,0,1,1,1
"phage_lambda",1696,1697,0,0,1,1,1
"phage_lambda",1705,1706,0,0,1,1,1
"phage_lambda",1747,1748,0,0,1,1,1
"phage_lambda",1759,1760,0,0,1,1,1
"phage_lambda",1767,1768,0,0,1,1,1
"phage_lambda",1778,1779,0,0,1,1,1
"phage_lambda",1789,1790,0,0,1,1,1
"phage_lambda",1793,1794,0,0,1,1,1
"phage_lambda",1801,1802,0,0,1,1,1
"phage_lambda",1810,1811,0,0,1,1,1
"phage_lambda",1820,1821,0,0,1,1,1
"phage_lambda",1824,1825,0,0,1,1,1
"phage_lambda",1828,1829,0,0,1,1,1
"phage_lambda",2941,2942,0,0,1,1,1
"phage_lambda",2945,2946,0,0,1,1,1
"phage_lambda",2957,2958,0,0,1,1,1
"phage_lambda",2997,2998,0,0,1,1,1
"phage_lambda",2998,2999,0,0,1,1,1
"phage_lambda",3009,3010,0,0,1,1,1
"phage_lambda",3010,3011,0,0,1,1,1
"phage_lambda",3011,3012,0,0,1,1,1
"phage_lambda",3012,3013,0,0,1,1,1
"phage_lambda",3017,3018,0,0,1,1,1
"phage_lambda",3018,3019,0,0,1,1,1
"phage_lambda",3027,3028,0,0,1,1,1
"phage_lambda",3028,3029,0,0,1,1,1
"phage_lambda",3035,3036,0,0,1,1,1
"phage_lambda",3036,3037,0,0,1,1,1
"phage_lambda",3044,3045,0,0,1,1,1
"phage_lambda",3045,3046,0,0,1,1,1
"phage_lambda",3050,3051,0,0,1,1,1
"phage_lambda",3051,3052,0,0,1,1,1
"phage_lambda",3077,3078,0,0,1,1,1
"phage_lambda",3078,3079,0,0,1,1,1
"phage_lambda",3080,3081,0,0,1,1,1
"phage_lambda",3081,3082,0,0,1,1,1
"phage_lambda",3093,3094,0,0,1,1,1
"phage_lambda",3094,3095,0,0,1,1,1
"phage_lambda",3105,3106,0,0,1,1,1
"phage_lambda",3106,3107,0,0,1,1,1
"phage_lambda",3117,3118,0,0,1,1,1
"phage_lambda",3118,3119,0,0,1,1,1
"phage_lambda",3131,3132,0,0,1,1,1
"phage_lambda",3132,3133,0,0,1,1,1
"phage_lambda",3147,3148,0,0,1,1,1
"phage_lambda",3159,3160,0,0,1,1,1
"phage_lambda",3161,3162,0,0,1,1,1
"phage_lambda",3172,3173,0,0,1,1,1
"phage_lambda",3374,3375,0,0,1,1,1
"phage_lambda",3384,3385,0,0,1,1,1
"phage_lambda",3387,3388,0,0,1,1,1
"phage_lambda",3394,3395,0,0,1,1,1
"phage_lambda",3403,3404,0,0,1,1,1
"phage_lambda",3408,3409,0,0,1,1,1
"phage_lambda",3429,3430,0,0,1,1,1
"phage_lambda",3434,3435,0,0,1,1,1
"phage_lambda",3437,3438,0,0,1,1,1
"phage_lambda",3450,3451,0,0,1,1,1
"phage_lambda",3456,3457,0,0,1,1,1
"phage_lambda",3462,3463,0,0,1,1,1
"phage_lambda",3482,3483,0,0,1,1,1
"phage_lambda",3505,3506,0,0,1,1,1
"phage_lambda",3516,3517,0,0,1,1,1
"phage_lambda",3571,3572,0,0,1,1,1
"phage_lambda",3573,3574,0,0,1,1,1
"phage_lambda",3594,3595,0,0,1,1,1
"phage_lambda",3618,3619,0,0,1,1,1
"phage_lambda",3623,3624,0,0,1,1,1
"phage_lambda",3635,3636,0,0,1,1,1
"phage_lambda",3648,3649,0,0,1,1,1
"phage_lambda",3662,3663,0,0,1,1,1
"phage_lambda",3672,3673,0,0,1,1,1
"phage_lambda",3698,3699,0,0,1,1,1
"phage_lambda",3707,3708,0,0,1,1,1
"phage_lambda",3874,3875,0,0,1,1,1
"phage_lambda",3881,3882,0,0,1,1,1
"phage_lambda",3890,3891,0,0,1,1,1
"phage_lambda",3912,3913,0,0,1,1,1
"phage_lambda",3920,3921,0,0,1,1,1
"phage_lambda",3926,3927,0,0,1,1,1
"phage_lambda",3940,3941,0,0,1,1,1
"phage_lambda",3957,3958,0,0,1,1,1
"phage_lambda",3965,3966,0,0,1,1,1
"phage_lambda",4701,4702,0,0,1,1,1
"phage_lambda",4703,4704,0,0,1,1,1
"phage_lambda",4707,4708,0,0,1,1,1
"phage_lambda",4716,4717,0,0,1,1,1
"phage_lambda",4722,4723,0,0,1,1,1
"phage_lambda",4732,4733,0,0,1,1,1
"phage_lambda",4741,4742,0,0,1,1,1
"phage_lambda",4750,4751,0,0,1,1,1
"phage_lambda",4754,4755,0,0,1,1,1
"phage_lambda",4774,4775,0,0,1,1,1
"phage_lambda",4779,4780,0,0,1,1,1
"phage_lambda",4789,4790,0,0,1,1,1
"phage_lambda",4801,4802,0,0,1,1,1
"phage_lambda",4812,4813,0,0,1,1,1
"phage_lambda",4816,4817,0,0,1,1,1
"phage_lambda",4819,4820,0,0,1,1,1
"phage_lambda",4830,4831,0,0,1,1,1
"phage_lambda",4846,4847,0,0,1,1,1
"phage_lambda",4880,4881,0,0,1,1,1
"phage_lambda",4889,4890,0,0,1,1,1
"phage_lambda",4899,4900,0,0,1,1,1
"phage_lambda",4938,4939,0,0,1,1,1
"phage_lambda",4939,4940,0,0,1,1,1
"phage_lambda",4945,4946,0,0,1,1,1
"phage_lambda",4946,4947,0,0,1,1,1
"phage_lambda",4949,4950,0,0,1,1,1
"phage_lambda",4959,4960,0,0,1,1,1
"phage_lambda",4966,4967,0,0,1,1,1
"phage_lambda",4970,4971,0,0,1,1,1
"phage_lambda",4984,4985,0,0,1,1,1
"phage_lambda",4987,4988,0,0,1,1,1
"phage_lambda",5011,5012,0,0,1,1,1
"phage_lambda",5019,5020,0,0,1,1,1
"phage_lambda",5046,5047,0,0,1,1,1
"phage_lambda",5136,5137,0,0,1,1,1
"phage_lambda",5143,5144,0,0,1,1,1
"phage_lambda",5156,5157,0,0,1,1,1
"phage_lambda",5157,5158,0,0,1,1,1
"phage_lambda",5168,5169,0,0,1,1,1
"phage_lambda",5169,5170,0,0,1,1,1
"phage_lambda",5178,5179,0,0,1,1,1
"phage_lambda",5179,5180,0,0,1,1,1
"phage_lambda",5187,5188,0,0,1,1,1
"phage_lambda",5188,5189,0,0,1,1,1
"phage_lambda",5208,5209,0,0,1,1,1
"phage_lambda",5209,5210,0,0,1,1,1
"phage_lambda",5227,5228,0,0,1,1,1
"phage_lambda",5248,5249,0,0,2,2,2
"phage_lambda",5278,5279,0,0,2,2,2
"phage_lambda",5283,5284,0,0,2,2,2
"phage_lambda",5290,5291,0,0,2,2,2
"phage_lambda",5297,5298,0,0,2,2,2
"phage_lambda",5315,5316,0,0,1,1,1
"phage_lambda",5324,5325,0,0,1,1,1
"phage_lambda",5339,5340,0,0,1,1,1
"phage_lambda",6427,6428,0,0,1,1,1
"phage_lambda",6439,6440,0,0,1,1,1
"phage_lambda",6445,6446,0,0,1,1,1
"phage_lambda",6453,6454,0,0,1,1,1
"phage_lambda",6456,6457,0,0,1,1,1
"phage_lambda",6459,6460,0,0,1,1,1
"phage_lambda",6462,6463,0,0,1,1,1
"phage_lambda",7331,7332,0,0,1,1,1
