"","chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads","context","total_reads"
"1","plasmid_puc19c",276,277,100,1,0,"CpG",1
"2","plasmid_puc19c",279,280,100,1,0,"CpG",1
"3","plasmid_puc19c",280,281,100,1,0,"CpG",1
"4","plasmid_puc19c",284,285,100,1,0,"CpG",1
"5","plasmid_puc19c",285,286,100,1,0,"CpG",1
"6","plasmid_puc19c",294,295,100,1,0,"CpG",1
"7","plasmid_puc19c",295,296,100,1,0,"CpG",1
"8","plasmid_puc19c",302,303,100,1,0,"CpG",1
"9","plasmid_puc19c",303,304,100,1,0,"CpG",1
"10","plasmid_puc19c",312,313,100,1,0,"CpG",1
"11","plasmid_puc19c",313,314,100,1,0,"CpG",1
"12","plasmid_puc19c",335,336,100,1,0,"CpG",1
"13","plasmid_puc19c",336,337,100,1,0,"CpG",1
"14","plasmid_puc19c",351,352,100,1,0,"CpG",1
"15","plasmid_puc19c",352,353,100,1,0,"CpG",1
"16","plasmid_puc19c",371,372,100,1,0,"CpG",1
"17","plasmid_puc19c",372,373,50,1,1,"CpG",2
"18","plasmid_puc19c",374,375,100,1,0,"CpG",1
"19","plasmid_puc19c",375,376,100,2,0,"CpG",2
"20","plasmid_puc19c",384,385,0,0,1,"CpG",1
"21","plasmid_puc19c",385,386,100,2,0,"CpG",2
"22","plasmid_puc19c",388,389,100,2,0,"CpG",2
"23","plasmid_puc19c",401,402,100,2,0,"CpG",2
"24","plasmid_puc19c",407,408,100,2,0,"CpG",2
"25","plasmid_puc19c",414,415,100,2,0,"CpG",2
"26","plasmid_puc19c",431,432,100,1,0,"CpG",1
"27","plasmid_puc19c",454,455,100,1,0,"CpG",1
"28","plasmid_puc19c",496,497,100,1,0,"CpG",1
"29","plasmid_puc19c",519,520,100,1,0,"CpG",1
"30","plasmid_puc19c",524,525,100,1,0,"CpG",1
"31","plasmid_puc19c",583,584,100,1,0,"CpG",1
"32","plasmid_puc19c",584,585,100,2,0,"CpG",2
"33","plasmid_puc19c",588,589,100,1,0,"CpG",1
"34","plasmid_puc19c",589,590,100,2,0,"CpG",2
"35","plasmid_puc19c",599,600,100,1,0,"CpG",1
"36","plasmid_puc19c",600,601,100,2,0,"CpG",2
"37","plasmid_puc19c",610,611,100,1,0,"CpG",1
"38","plasmid_puc19c",611,612,100,2,0,"CpG",2
"39","plasmid_puc19c",622,623,100,1,0,"CpG",1
"40","plasmid_puc19c",623,624,100,2,0,"CpG",2
"41","plasmid_puc19c",644,645,100,1,0,"CpG",1
"42","plasmid_puc19c",645,646,100,2,0,"CpG",2
"43","plasmid_puc19c",651,652,100,1,0,"CpG",1
"44","plasmid_puc19c",652,653,100,1,0,"CpG",1
"45","plasmid_puc19c",653,654,100,1,0,"CpG",1
"46","plasmid_puc19c",654,655,100,1,0,"CpG",1
"47","plasmid_puc19c",655,656,100,1,0,"CpG",1
"48","plasmid_puc19c",656,657,100,1,0,"CpG",1
"49","plasmid_puc19c",665,666,100,1,0,"CpG",1
"50","plasmid_puc19c",666,667,100,1,0,"CpG",1
"51","plasmid_puc19c",672,673,100,1,0,"CpG",1
"52","plasmid_puc19c",673,674,100,1,0,"CpG",1
"53","plasmid_puc19c",681,682,100,1,0,"CpG",1
"54","plasmid_puc19c",682,683,100,1,0,"CpG",1
"55","plasmid_puc19c",689,690,100,1,0,"CpG",1
"56","plasmid_puc19c",690,691,100,1,0,"CpG",1
"57","plasmid_puc19c",697,698,0,0,1,"CpG",1
"58","plasmid_puc19c",698,699,100,1,0,"CpG",1
"59","plasmid_puc19c",710,711,100,1,0,"CpG",1
"60","plasmid_puc19c",715,716,100,1,0,"CpG",1
"61","plasmid_puc19c",719,720,100,1,0,"CpG",1
"62","plasmid_puc19c",723,724,100,1,0,"CpG",1
"63","plasmid_puc19c",727,728,100,1,0,"CpG",1
"64","plasmid_puc19c",733,734,100,1,0,"CpG",1
"65","plasmid_puc19c",736,737,100,1,0,"CpG",1
"66","plasmid_puc19c",739,740,100,1,0,"CpG",1
"67","plasmid_puc19c",740,741,100,1,0,"CpG",1
"68","plasmid_puc19c",760,761,100,1,0,"CpG",1
"69","plasmid_puc19c",761,762,100,1,0,"CpG",1
"70","plasmid_puc19c",768,769,100,1,0,"CpG",1
"71","plasmid_puc19c",769,770,100,1,0,"CpG",1
"72","plasmid_puc19c",794,795,100,1,0,"CpG",1
"73","plasmid_puc19c",840,841,100,2,0,"CpG",2
"74","plasmid_puc19c",851,852,100,2,0,"CpG",2
"75","plasmid_puc19c",853,854,100,2,0,"CpG",2
"76","plasmid_puc19c",862,863,100,2,0,"CpG",2
"77","plasmid_puc19c",879,880,100,2,0,"CpG",2
"78","plasmid_puc19c",890,891,100,3,0,"CpG",3
"79","plasmid_puc19c",906,907,100,3,0,"CpG",3
"80","plasmid_puc19c",909,910,100,3,0,"CpG",3
"81","plasmid_puc19c",927,928,100,2,0,"CpG",2
"82","plasmid_puc19c",934,935,100,2,0,"CpG",2
"83","plasmid_puc19c",958,959,100,1,0,"CpG",1
"84","plasmid_puc19c",980,981,100,1,0,"CpG",1
"85","plasmid_puc19c",984,985,0,0,1,"CpG",1
"86","plasmid_puc19c",997,998,100,1,0,"CpG",1
"87","plasmid_puc19c",998,999,100,1,0,"CpG",1
"88","plasmid_puc19c",1006,1007,100,1,0,"CpG",1
"89","plasmid_puc19c",1007,1008,100,1,0,"CpG",1
"90","plasmid_puc19c",1013,1014,0,0,1,"CpG",1
"91","plasmid_puc19c",1014,1015,100,1,0,"CpG",1
"92","plasmid_puc19c",1026,1027,100,1,0,"CpG",1
"93","plasmid_puc19c",1040,1041,100,1,0,"CpG",1
"94","plasmid_puc19c",1047,1048,100,1,0,"CpG",1
"95","plasmid_puc19c",1052,1053,100,1,0,"CpG",1
"96","plasmid_puc19c",1161,1162,0,0,1,"CpG",1
"97","plasmid_puc19c",1171,1172,100,1,0,"CpG",1
"98","plasmid_puc19c",1187,1188,100,1,0,"CpG",1
"99","plasmid_puc19c",1197,1198,100,1,0,"CpG",1
"100","plasmid_puc19c",1205,1206,100,1,0,"CpG",1
"101","plasmid_puc19c",1244,1245,100,1,0,"CpG",1
"102","plasmid_puc19c",1257,1258,100,1,0,"CpG",1
"103","plasmid_puc19c",1292,1293,100,1,0,"CpG",1
"104","plasmid_puc19c",1293,1294,100,1,0,"CpG",1
"105","plasmid_puc19c",1325,1326,100,1,0,"CpG",1
"106","plasmid_puc19c",1349,1350,100,1,0,"CpG",1
"107","plasmid_puc19c",1376,1377,100,1,0,"CpG",1
"108","plasmid_puc19c",1478,1479,100,1,0,"CpG",1
"109","plasmid_puc19c",1488,1489,100,1,0,"CpG",1
"110","plasmid_puc19c",1500,1501,100,1,0,"CpG",1
"111","plasmid_puc19c",1510,1511,100,1,0,"CpG",1
"112","plasmid_puc19c",1660,1661,100,2,0,"CpG",2
"113","plasmid_puc19c",1661,1662,100,1,0,"CpG",1
"114","plasmid_puc19c",1674,1675,100,1,0,"CpG",1
"115","plasmid_puc19c",1675,1676,100,1,0,"CpG",1
"116","plasmid_puc19c",1700,1701,100,2,0,"CpG",2
"117","plasmid_puc19c",1701,1702,100,1,0,"CpG",1
"118","plasmid_puc19c",1703,1704,100,2,0,"CpG",2
"119","plasmid_puc19c",1704,1705,100,1,0,"CpG",1
"120","plasmid_puc19c",1717,1718,100,2,0,"CpG",2
"121","plasmid_puc19c",1718,1719,100,1,0,"CpG",1
"122","plasmid_puc19c",1722,1723,100,2,0,"CpG",2
"123","plasmid_puc19c",1723,1724,100,1,0,"CpG",1
"124","plasmid_puc19c",1762,1763,100,2,0,"CpG",2
"125","plasmid_puc19c",1764,1765,100,2,0,"CpG",2
"126","plasmid_puc19c",1773,1774,100,2,0,"CpG",2
"127","plasmid_puc19c",1780,1781,100,2,0,"CpG",2
"128","plasmid_puc19c",1814,1815,100,1,0,"CpG",1
"129","plasmid_puc19c",1823,1824,100,2,0,"CpG",2
"130","plasmid_puc19c",1827,1828,100,2,0,"CpG",2
"131","plasmid_puc19c",1853,1854,100,1,0,"CpG",1
"132","plasmid_puc19c",1881,1882,100,1,0,"CpG",1
"133","plasmid_puc19c",1903,1904,100,2,0,"CpG",2
"134","plasmid_puc19c",1920,1921,100,2,0,"CpG",2
"135","plasmid_puc19c",1925,1926,100,2,0,"CpG",2
"136","plasmid_puc19c",1949,1950,100,2,0,"CpG",2
"137","plasmid_puc19c",1950,1951,100,1,0,"CpG",1
"138","plasmid_puc19c",1959,1960,100,2,0,"CpG",2
"139","plasmid_puc19c",1960,1961,100,1,0,"CpG",1
"140","plasmid_puc19c",1963,1964,100,2,0,"CpG",2
"141","plasmid_puc19c",1964,1965,100,1,0,"CpG",1
"142","plasmid_puc19c",1966,1967,50,1,1,"CpG",2
"143","plasmid_puc19c",1967,1968,100,1,0,"CpG",1
