"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads"
"OR482510.1",1944,1945,0,0,1
"OR482510.1",1957,1958,0,0,1
"OR482510.1",2009,2010,0,0,1
"OR482510.1",2057,2058,0,0,1
"OR482510.1",2061,2062,0,0,1
"OR482510.1",2066,2067,0,0,1
"OR482510.1",2087,2088,0,0,1
"OR482510.1",2143,2144,0,0,1
"OR482510.1",2171,2172,50,1,1
"OR482510.1",2206,2207,0,0,3
"OR482510.1",2211,2212,0,0,3
"OR482510.1",2275,2276,0,0,5
"OR482510.1",2300,2301,0,0,5
"OR482510.1",2343,2344,0,0,3
"OR482510.1",2402,2403,0,0,2
"OR482510.1",2405,2406,0,0,2
"OR482510.1",10611,10612,0,0,1
"OR482510.1",10630,10631,0,0,1
"OR482510.1",10648,10649,0,0,1
"OR482510.1",10664,10665,0,0,1
"OR482510.1",10698,10699,0,0,1
"OR482510.1",10775,10776,0,0,1
"OR482510.1",10779,10780,0,0,1
"OR482510.1",10794,10795,0,0,1
"OR482510.1",10824,10825,0,0,2
"OR482510.1",10872,10873,0,0,3
"OR482510.1",10898,10899,0,0,4
"OR482510.1",10932,10933,0,0,6
"OR482510.1",10950,10951,0,0,5
"OR482510.1",10954,10955,0,0,6
"OR482510.1",11002,11003,0,0,6
"OR482510.1",11031,11032,0,0,5
"OR482510.1",11037,11038,0,0,4
"OR482510.1",11051,11052,0,0,3
"OR482510.1",11055,11056,0,0,3
"OR482510.1",11058,11059,0,0,3
"OR482510.1",11092,11093,0,0,2
"OR482510.1",11158,11159,0,0,2
"OR482510.1",11175,11176,0,0,2
"OR482510.1",11199,11200,0,0,1
"OR482510.1",12312,12313,0,0,1
"OR482510.1",12365,12366,0,0,2
"OR482510.1",12376,12377,0,0,3
"OR482510.1",12435,12436,0,0,6
"OR482510.1",12464,12465,16,1,5
"OR482510.1",12475,12476,0,0,5
"OR482510.1",12479,12480,60,3,2
"OR482510.1",12511,12512,0,0,4
"OR482510.1",12552,12553,0,0,1
"OR482510.1",12565,12566,0,0,1
"OR482510.1",12616,12617,0,0,1
"OR482510.1",12626,12627,0,0,1
"OR482510.1",12632,12633,0,0,1
"OR482510.1",12674,12675,0,0,1
"OR482510.1",12694,12695,0,0,2
"OR482510.1",12701,12702,0,0,2
"OR482510.1",12709,12710,0,0,2
"OR482510.1",12734,12735,0,0,1
"OR482510.1",12769,12770,0,0,1
"OR482510.1",12785,12786,0,0,1
"OR482510.1",12798,12799,0,0,1
"OR482510.1",12817,12818,0,0,1
"OR482510.1",13503,13504,0,0,1
"OR482510.1",13611,13612,0,0,1
"OR482510.1",13622,13623,0,0,1
"OR482510.1",13647,13648,0,0,1
"OR482510.1",13658,13659,0,0,1
"OR482510.1",13761,13762,0,0,5
"OR482510.1",13771,13772,0,0,5
"OR482510.1",13795,13796,20,1,4
"OR482510.1",13859,13860,0,0,3
"OR482510.1",15392,15393,0,0,1
"OR482510.1",15409,15410,0,0,1
"OR482510.1",15420,15421,0,0,1
"OR482510.1",15490,15491,0,0,1
"OR482510.1",15499,15500,0,0,1
"OR482510.1",15855,15856,0,0,12
"OR482510.1",15950,15951,0,0,4
"OR482510.1",16022,16023,0,0,2
"OR482510.1",16035,16036,0,0,2
"OR482510.1",16055,16056,0,0,3
"OR482510.1",16143,16144,0,0,1
