"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads"
"plasmid_puc19c",276,277,100,1,0
"plasmid_puc19c",279,280,100,1,0
"plasmid_puc19c",280,281,100,1,0
"plasmid_puc19c",284,285,100,1,0
"plasmid_puc19c",285,286,100,1,0
"plasmid_puc19c",294,295,100,1,0
"plasmid_puc19c",295,296,100,1,0
"plasmid_puc19c",302,303,100,1,0
"plasmid_puc19c",303,304,100,1,0
"plasmid_puc19c",312,313,100,1,0
"plasmid_puc19c",313,314,100,1,0
"plasmid_puc19c",335,336,100,1,0
"plasmid_puc19c",336,337,100,1,0
"plasmid_puc19c",351,352,100,1,0
"plasmid_puc19c",352,353,100,1,0
"plasmid_puc19c",371,372,100,1,0
"plasmid_puc19c",372,373,50,1,1
"plasmid_puc19c",374,375,100,1,0
"plasmid_puc19c",375,376,100,2,0
"plasmid_puc19c",384,385,0,0,1
"plasmid_puc19c",385,386,100,2,0
"plasmid_puc19c",388,389,100,2,0
"plasmid_puc19c",401,402,100,2,0
"plasmid_puc19c",407,408,100,2,0
"plasmid_puc19c",414,415,100,2,0
"plasmid_puc19c",431,432,100,1,0
"plasmid_puc19c",454,455,100,1,0
"plasmid_puc19c",496,497,100,1,0
"plasmid_puc19c",519,520,100,1,0
"plasmid_puc19c",524,525,100,1,0
"plasmid_puc19c",583,584,100,1,0
"plasmid_puc19c",584,585,100,2,0
"plasmid_puc19c",588,589,100,1,0
"plasmid_puc19c",589,590,100,2,0
"plasmid_puc19c",599,600,100,1,0
"plasmid_puc19c",600,601,100,2,0
"plasmid_puc19c",610,611,100,1,0
"plasmid_puc19c",611,612,100,2,0
"plasmid_puc19c",622,623,100,1,0
"plasmid_puc19c",623,624,100,2,0
"plasmid_puc19c",644,645,100,1,0
"plasmid_puc19c",645,646,100,2,0
"plasmid_puc19c",651,652,100,1,0
"plasmid_puc19c",652,653,100,1,0
"plasmid_puc19c",653,654,100,1,0
"plasmid_puc19c",654,655,100,1,0
"plasmid_puc19c",655,656,100,1,0
"plasmid_puc19c",656,657,100,1,0
"plasmid_puc19c",665,666,100,1,0
"plasmid_puc19c",666,667,100,1,0
"plasmid_puc19c",672,673,100,1,0
"plasmid_puc19c",673,674,100,1,0
"plasmid_puc19c",681,682,100,1,0
"plasmid_puc19c",682,683,100,1,0
"plasmid_puc19c",689,690,100,1,0
"plasmid_puc19c",690,691,100,1,0
"plasmid_puc19c",697,698,0,0,1
"plasmid_puc19c",698,699,100,1,0
"plasmid_puc19c",710,711,100,1,0
"plasmid_puc19c",715,716,100,1,0
"plasmid_puc19c",719,720,100,1,0
"plasmid_puc19c",723,724,100,1,0
"plasmid_puc19c",727,728,100,1,0
"plasmid_puc19c",733,734,100,1,0
"plasmid_puc19c",736,737,100,1,0
"plasmid_puc19c",739,740,100,1,0
"plasmid_puc19c",740,741,100,1,0
"plasmid_puc19c",760,761,100,1,0
"plasmid_puc19c",761,762,100,1,0
"plasmid_puc19c",768,769,100,1,0
"plasmid_puc19c",769,770,100,1,0
"plasmid_puc19c",794,795,100,1,0
"plasmid_puc19c",840,841,100,2,0
"plasmid_puc19c",851,852,100,2,0
"plasmid_puc19c",853,854,100,2,0
"plasmid_puc19c",862,863,100,2,0
"plasmid_puc19c",879,880,100,2,0
"plasmid_puc19c",890,891,100,3,0
"plasmid_puc19c",906,907,100,3,0
"plasmid_puc19c",909,910,100,3,0
"plasmid_puc19c",927,928,100,2,0
"plasmid_puc19c",934,935,100,2,0
"plasmid_puc19c",958,959,100,1,0
"plasmid_puc19c",980,981,100,1,0
"plasmid_puc19c",984,985,0,0,1
"plasmid_puc19c",997,998,100,1,0
"plasmid_puc19c",998,999,100,1,0
"plasmid_puc19c",1006,1007,100,1,0
"plasmid_puc19c",1007,1008,100,1,0
"plasmid_puc19c",1013,1014,0,0,1
"plasmid_puc19c",1014,1015,100,1,0
"plasmid_puc19c",1026,1027,100,1,0
"plasmid_puc19c",1040,1041,100,1,0
"plasmid_puc19c",1047,1048,100,1,0
"plasmid_puc19c",1052,1053,100,1,0
"plasmid_puc19c",1161,1162,0,0,1
"plasmid_puc19c",1171,1172,100,1,0
"plasmid_puc19c",1187,1188,100,1,0
"plasmid_puc19c",1197,1198,100,1,0
"plasmid_puc19c",1205,1206,100,1,0
"plasmid_puc19c",1244,1245,100,1,0
"plasmid_puc19c",1257,1258,100,1,0
"plasmid_puc19c",1292,1293,100,1,0
"plasmid_puc19c",1293,1294,100,1,0
"plasmid_puc19c",1325,1326,100,1,0
"plasmid_puc19c",1349,1350,100,1,0
"plasmid_puc19c",1376,1377,100,1,0
"plasmid_puc19c",1478,1479,100,1,0
"plasmid_puc19c",1488,1489,100,1,0
"plasmid_puc19c",1500,1501,100,1,0
"plasmid_puc19c",1510,1511,100,1,0
"plasmid_puc19c",1660,1661,100,2,0
"plasmid_puc19c",1661,1662,100,1,0
"plasmid_puc19c",1674,1675,100,1,0
"plasmid_puc19c",1675,1676,100,1,0
"plasmid_puc19c",1700,1701,100,2,0
"plasmid_puc19c",1701,1702,100,1,0
"plasmid_puc19c",1703,1704,100,2,0
"plasmid_puc19c",1704,1705,100,1,0
"plasmid_puc19c",1717,1718,100,2,0
"plasmid_puc19c",1718,1719,100,1,0
"plasmid_puc19c",1722,1723,100,2,0
"plasmid_puc19c",1723,1724,100,1,0
"plasmid_puc19c",1762,1763,100,2,0
"plasmid_puc19c",1764,1765,100,2,0
"plasmid_puc19c",1773,1774,100,2,0
"plasmid_puc19c",1780,1781,100,2,0
"plasmid_puc19c",1814,1815,100,1,0
"plasmid_puc19c",1823,1824,100,2,0
"plasmid_puc19c",1827,1828,100,2,0
"plasmid_puc19c",1853,1854,100,1,0
"plasmid_puc19c",1881,1882,100,1,0
"plasmid_puc19c",1903,1904,100,2,0
"plasmid_puc19c",1920,1921,100,2,0
"plasmid_puc19c",1925,1926,100,2,0
"plasmid_puc19c",1949,1950,100,2,0
