chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
genome_hic_scaffold_1_RagTag	CHH	OB	1	1	1	25	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	10	0	26	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	100	0	26	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	101	0	18	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	102	0	33	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	103	0	28	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	104	1	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	105	0	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	106	0	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	107	0	27	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	108	0	29	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	109	1	23	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	11	4	36	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	110	0	18	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	111	0	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	112	0	26	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	113	0	26	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	114	3	31	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	115	0	24	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	116	0	21	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	117	1	22	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	118	1	16	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	119	0	19	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	12	3	25	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	120	0	28	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	121	0	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	122	0	17	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	123	1	18	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	124	0	18	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	125	0	28	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	126	0	21	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	127	2	17	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	128	2	18	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	129	1	14	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	13	3	27	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	130	0	26	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	131	0	11	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	132	0	15	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	133	0	22	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	134	2	18	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	135	0	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	136	1	22	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	137	0	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	138	1	22	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	139	0	16	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	14	1	25	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	140	0	20	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	141	0	13	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	142	0	13	0	0
genome_hic_scaffold_1_RagTag	CHH	OB	1	143	0	20	0	0
