"","chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads","context","total_reads"
"1","OR482510.1",1987,1988,0,0,1,"CpG",1
"2","OR482510.1",2006,2007,0,0,1,"CpG",1
"3","OR482510.1",2026,2027,0,0,1,"CpG",1
"4","OR482510.1",2058,2059,0,0,1,"CpG",1
"5","OR482510.1",2084,2085,0,0,1,"CpG",1
"6","OR482510.1",2088,2089,0,0,1,"CpG",1
"7","OR482510.1",2090,2091,0,0,1,"CpG",1
"8","OR482510.1",2160,2161,0,0,2,"CpG",2
"9","OR482510.1",2207,2208,0,0,3,"CpG",3
"10","OR482510.1",2217,2218,0,0,3,"CpG",3
"11","OR482510.1",2236,2237,0,0,4,"CpG",4
"12","OR482510.1",2340,2341,0,0,3,"CpG",3
"13","OR482510.1",2344,2345,0,0,3,"CpG",3
"14","OR482510.1",2346,2347,0,0,3,"CpG",3
"15","OR482510.1",2367,2368,0,0,2,"CpG",2
"16","OR482510.1",2403,2404,0,0,2,"CpG",2
"17","OR482510.1",10618,10619,0,0,1,"CpG",1
"18","OR482510.1",10631,10632,0,0,1,"CpG",1
"19","OR482510.1",10637,10638,0,0,1,"CpG",1
"20","OR482510.1",10690,10691,0,0,1,"CpG",1
"21","OR482510.1",10763,10764,0,0,1,"CpG",1
"22","OR482510.1",10784,10785,0,0,1,"CpG",1
"23","OR482510.1",11043,11044,0,0,3,"CpG",3
"24","OR482510.1",11083,11084,0,0,2,"CpG",2
"25","OR482510.1",11093,11094,0,0,2,"CpG",2
"26","OR482510.1",11152,11153,0,0,2,"CpG",2
"27","OR482510.1",11184,11185,0,0,1,"CpG",1
"28","OR482510.1",11192,11193,0,0,1,"CpG",1
"29","OR482510.1",12313,12314,0,0,1,"CpG",1
"30","OR482510.1",12444,12445,0,0,6,"CpG",6
"31","OR482510.1",12448,12449,0,0,6,"CpG",6
"32","OR482510.1",12452,12453,0,0,6,"CpG",6
"33","OR482510.1",12467,12468,50,3,3,"CpG",6
"34","OR482510.1",12480,12481,60,3,2,"CpG",5
"35","OR482510.1",12493,12494,0,0,4,"CpG",4
"36","OR482510.1",12498,12499,0,0,4,"CpG",4
"37","OR482510.1",12543,12544,50,1,1,"CpG",2
"38","OR482510.1",12624,12625,0,0,1,"CpG",1
"39","OR482510.1",12627,12628,0,0,1,"CpG",1
"40","OR482510.1",12641,12642,0,0,1,"CpG",1
"41","OR482510.1",12695,12696,0,0,2,"CpG",2
"42","OR482510.1",12735,12736,0,0,1,"CpG",1
"43","OR482510.1",12754,12755,0,0,1,"CpG",1
"44","OR482510.1",12821,12822,0,0,1,"CpG",1
"45","OR482510.1",12824,12825,0,0,1,"CpG",1
"46","OR482510.1",13477,13478,0,0,1,"CpG",1
"47","OR482510.1",13577,13578,0,0,1,"CpG",1
"48","OR482510.1",13657,13658,0,0,1,"CpG",1
"49","OR482510.1",13787,13788,0,0,5,"CpG",5
"50","OR482510.1",13799,13800,0,0,5,"CpG",5
"51","OR482510.1",13811,13812,0,0,5,"CpG",5
"52","OR482510.1",13823,13824,0,0,4,"CpG",4
"53","OR482510.1",13867,13868,0,0,3,"CpG",3
"54","OR482510.1",13909,13910,0,0,2,"CpG",2
"55","OR482510.1",15398,15399,0,0,1,"CpG",1
"56","OR482510.1",15421,15422,0,0,1,"CpG",1
"57","OR482510.1",15425,15426,0,0,1,"CpG",1
"58","OR482510.1",15443,15444,0,0,1,"CpG",1
"59","OR482510.1",15803,15804,0,0,10,"CpG",10
"60","OR482510.1",15856,15857,0,0,12,"CpG",12
"61","OR482510.1",15860,15861,50,6,6,"CpG",12
"62","OR482510.1",15951,15952,0,0,4,"CpG",4
"63","OR482510.1",15980,15981,0,0,2,"CpG",2
"64","OR482510.1",16126,16127,0,0,1,"CpG",1
"65","OR482510.1",16132,16133,0,0,1,"CpG",1
"66","OR482510.1",16144,16145,0,0,1,"CpG",1
"67","OR482510.1",16148,16149,0,0,1,"CpG",1
"68","OR482510.1",16160,16161,0,0,1,"CpG",1
"69","OR482510.1",1944,1945,0,0,1,"CHG",1
"70","OR482510.1",1957,1958,0,0,1,"CHG",1
"71","OR482510.1",2009,2010,0,0,1,"CHG",1
"72","OR482510.1",2057,2058,0,0,1,"CHG",1
"73","OR482510.1",2061,2062,0,0,1,"CHG",1
"74","OR482510.1",2066,2067,0,0,1,"CHG",1
"75","OR482510.1",2087,2088,0,0,1,"CHG",1
"76","OR482510.1",2143,2144,0,0,1,"CHG",1
"77","OR482510.1",2171,2172,50,1,1,"CHG",2
"78","OR482510.1",2206,2207,0,0,3,"CHG",3
"79","OR482510.1",2211,2212,0,0,3,"CHG",3
"80","OR482510.1",2275,2276,0,0,5,"CHG",5
"81","OR482510.1",2300,2301,0,0,5,"CHG",5
"82","OR482510.1",2343,2344,0,0,3,"CHG",3
"83","OR482510.1",2402,2403,0,0,2,"CHG",2
"84","OR482510.1",2405,2406,0,0,2,"CHG",2
"85","OR482510.1",10611,10612,0,0,1,"CHG",1
"86","OR482510.1",10630,10631,0,0,1,"CHG",1
"87","OR482510.1",10648,10649,0,0,1,"CHG",1
"88","OR482510.1",10664,10665,0,0,1,"CHG",1
"89","OR482510.1",10698,10699,0,0,1,"CHG",1
"90","OR482510.1",10775,10776,0,0,1,"CHG",1
"91","OR482510.1",10779,10780,0,0,1,"CHG",1
"92","OR482510.1",10794,10795,0,0,1,"CHG",1
"93","OR482510.1",10824,10825,0,0,2,"CHG",2
"94","OR482510.1",10872,10873,0,0,3,"CHG",3
"95","OR482510.1",10898,10899,0,0,4,"CHG",4
"96","OR482510.1",10932,10933,0,0,6,"CHG",6
"97","OR482510.1",10950,10951,0,0,5,"CHG",5
"98","OR482510.1",10954,10955,0,0,6,"CHG",6
"99","OR482510.1",11002,11003,0,0,6,"CHG",6
"100","OR482510.1",11031,11032,0,0,5,"CHG",5
"101","OR482510.1",11037,11038,0,0,4,"CHG",4
"102","OR482510.1",11051,11052,0,0,3,"CHG",3
"103","OR482510.1",11055,11056,0,0,3,"CHG",3
"104","OR482510.1",11058,11059,0,0,3,"CHG",3
"105","OR482510.1",11092,11093,0,0,2,"CHG",2
"106","OR482510.1",11158,11159,0,0,2,"CHG",2
"107","OR482510.1",11175,11176,0,0,2,"CHG",2
"108","OR482510.1",11199,11200,0,0,1,"CHG",1
"109","OR482510.1",12312,12313,0,0,1,"CHG",1
"110","OR482510.1",12365,12366,0,0,2,"CHG",2
"111","OR482510.1",12376,12377,0,0,3,"CHG",3
"112","OR482510.1",12435,12436,0,0,6,"CHG",6
"113","OR482510.1",12464,12465,16,1,5,"CHG",6
"114","OR482510.1",12475,12476,0,0,5,"CHG",5
"115","OR482510.1",12479,12480,60,3,2,"CHG",5
"116","OR482510.1",12511,12512,0,0,4,"CHG",4
"117","OR482510.1",12552,12553,0,0,1,"CHG",1
"118","OR482510.1",12565,12566,0,0,1,"CHG",1
"119","OR482510.1",12616,12617,0,0,1,"CHG",1
"120","OR482510.1",12626,12627,0,0,1,"CHG",1
"121","OR482510.1",12632,12633,0,0,1,"CHG",1
"122","OR482510.1",12674,12675,0,0,1,"CHG",1
"123","OR482510.1",12694,12695,0,0,2,"CHG",2
"124","OR482510.1",12701,12702,0,0,2,"CHG",2
"125","OR482510.1",12709,12710,0,0,2,"CHG",2
"126","OR482510.1",12734,12735,0,0,1,"CHG",1
"127","OR482510.1",12769,12770,0,0,1,"CHG",1
"128","OR482510.1",12785,12786,0,0,1,"CHG",1
"129","OR482510.1",12798,12799,0,0,1,"CHG",1
"130","OR482510.1",12817,12818,0,0,1,"CHG",1
"131","OR482510.1",13503,13504,0,0,1,"CHG",1
"132","OR482510.1",13611,13612,0,0,1,"CHG",1
"133","OR482510.1",13622,13623,0,0,1,"CHG",1
