"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads"
"OR482510.1",1952,1953,0,0,1
"OR482510.1",1954,1955,0,0,1
"OR482510.1",1955,1956,0,0,1
"OR482510.1",1966,1967,100,1,0
"OR482510.1",1985,1986,100,1,0
"OR482510.1",1990,1991,0,0,1
"OR482510.1",1994,1995,0,0,1
"OR482510.1",1999,2000,0,0,1
"OR482510.1",2003,2004,0,0,1
"OR482510.1",2004,2005,0,0,1
"OR482510.1",2008,2009,0,0,1
"OR482510.1",2016,2017,100,1,0
"OR482510.1",2017,2018,0,0,1
"OR482510.1",2023,2024,0,0,1
"OR482510.1",2028,2029,0,0,1
"OR482510.1",2029,2030,0,0,1
"OR482510.1",2031,2032,0,0,1
"OR482510.1",2035,2036,0,0,1
"OR482510.1",2040,2041,0,0,1
"OR482510.1",2056,2057,0,0,1
"OR482510.1",2060,2061,0,0,1
"OR482510.1",2064,2065,0,0,1
"OR482510.1",2065,2066,0,0,1
"OR482510.1",2072,2073,0,0,1
"OR482510.1",2142,2143,0,0,1
"OR482510.1",2155,2156,0,0,2
"OR482510.1",2157,2158,0,0,2
"OR482510.1",2166,2167,0,0,2
"OR482510.1",2175,2176,0,0,2
"OR482510.1",2177,2178,0,0,2
"OR482510.1",2178,2179,0,0,2
"OR482510.1",2180,2181,0,0,2
"OR482510.1",2184,2185,0,0,2
"OR482510.1",2189,2190,0,0,2
"OR482510.1",2202,2203,0,0,3
"OR482510.1",2204,2205,0,0,3
"OR482510.1",2205,2206,0,0,3
"OR482510.1",2229,2230,0,0,4
"OR482510.1",2244,2245,25,1,3
"OR482510.1",2245,2246,0,0,4
"OR482510.1",2246,2247,0,0,4
"OR482510.1",2254,2255,25,1,3
"OR482510.1",2261,2262,0,0,5
"OR482510.1",2263,2264,40,2,3
"OR482510.1",2264,2265,0,0,5
"OR482510.1",2274,2275,0,0,5
"OR482510.1",2279,2280,0,0,5
"OR482510.1",2286,2287,20,1,4
"OR482510.1",2287,2288,0,0,5
"OR482510.1",2288,2289,0,0,5
"OR482510.1",2289,2290,0,0,5
"OR482510.1",2299,2300,20,1,4
"OR482510.1",2305,2306,0,0,5
"OR482510.1",2315,2316,0,0,5
"OR482510.1",2316,2317,0,0,5
"OR482510.1",2319,2320,0,0,5
"OR482510.1",2320,2321,0,0,5
"OR482510.1",2321,2322,0,0,5
"OR482510.1",2328,2329,0,0,5
"OR482510.1",2354,2355,50,1,1
"OR482510.1",2361,2362,0,0,2
"OR482510.1",2362,2363,0,0,2
"OR482510.1",2363,2364,0,0,2
"OR482510.1",2364,2365,0,0,2
"OR482510.1",2365,2366,0,0,2
"OR482510.1",2380,2381,0,0,2
"OR482510.1",2382,2383,50,1,1
"OR482510.1",2383,2384,0,0,2
"OR482510.1",2384,2385,0,0,2
"OR482510.1",2385,2386,0,0,2
"OR482510.1",2386,2387,0,0,2
"OR482510.1",2388,2389,0,0,2
"OR482510.1",2389,2390,0,0,2
"OR482510.1",2392,2393,0,0,2
"OR482510.1",2395,2396,50,1,1
"OR482510.1",2408,2409,0,0,1
"OR482510.1",10596,10597,0,0,1
"OR482510.1",10600,10601,0,0,1
"OR482510.1",10601,10602,0,0,1
"OR482510.1",10606,10607,0,0,1
"OR482510.1",10607,10608,0,0,1
"OR482510.1",10609,10610,0,0,1
"OR482510.1",10614,10615,0,0,1
"OR482510.1",10616,10617,0,0,1
"OR482510.1",10622,10623,0,0,1
"OR482510.1",10623,10624,0,0,1
"OR482510.1",10633,10634,0,0,1
"OR482510.1",10634,10635,0,0,1
"OR482510.1",10641,10642,0,0,1
"OR482510.1",10645,10646,0,0,1
"OR482510.1",10651,10652,0,0,1
