"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads"
"plasmid_puc19c",281,282,100,1,0
"plasmid_puc19c",286,287,0,0,1
"plasmid_puc19c",305,306,0,0,1
"plasmid_puc19c",307,308,0,0,1
"plasmid_puc19c",308,309,0,0,1
"plasmid_puc19c",310,311,0,0,1
"plasmid_puc19c",327,328,0,0,1
"plasmid_puc19c",329,330,0,0,1
"plasmid_puc19c",354,355,0,0,1
"plasmid_puc19c",356,357,0,0,1
"plasmid_puc19c",365,366,0,0,1
"plasmid_puc19c",367,368,0,0,1
"plasmid_puc19c",389,390,0,0,2
"plasmid_puc19c",393,394,0,0,2
"plasmid_puc19c",408,409,0,0,2
"plasmid_puc19c",415,416,0,0,2
"plasmid_puc19c",434,435,0,0,1
"plasmid_puc19c",436,437,0,0,1
"plasmid_puc19c",437,438,0,0,1
"plasmid_puc19c",471,472,0,0,1
"plasmid_puc19c",478,479,0,0,1
"plasmid_puc19c",495,496,0,0,1
"plasmid_puc19c",523,524,0,0,1
"plasmid_puc19c",545,546,0,0,1
"plasmid_puc19c",547,548,0,0,1
"plasmid_puc19c",594,595,0,0,1
"plasmid_puc19c",596,597,50,1,1
"plasmid_puc19c",598,599,0,0,1
"plasmid_puc19c",606,607,0,0,1
"plasmid_puc19c",608,609,50,1,1
"plasmid_puc19c",612,613,50,1,1
"plasmid_puc19c",618,619,0,0,1
"plasmid_puc19c",620,621,50,1,1
"plasmid_puc19c",627,628,0,0,1
"plasmid_puc19c",629,630,0,0,2
"plasmid_puc19c",630,631,0,0,1
"plasmid_puc19c",632,633,0,0,2
"plasmid_puc19c",646,647,0,0,2
"plasmid_puc19c",657,658,0,0,1
"plasmid_puc19c",667,668,0,0,1
"plasmid_puc19c",688,689,100,1,0
"plasmid_puc19c",705,706,0,0,1
"plasmid_puc19c",713,714,100,1,0
"plasmid_puc19c",720,721,0,0,1
"plasmid_puc19c",728,729,0,0,1
"plasmid_puc19c",731,732,100,1,0
"plasmid_puc19c",734,735,100,1,0
"plasmid_puc19c",741,742,0,0,1
"plasmid_puc19c",745,746,0,0,1
"plasmid_puc19c",747,748,0,0,1
"plasmid_puc19c",762,763,0,0,1
"plasmid_puc19c",770,771,0,0,1
"plasmid_puc19c",778,779,0,0,1
"plasmid_puc19c",780,781,0,0,1
"plasmid_puc19c",784,785,0,0,1
"plasmid_puc19c",786,787,0,0,1
"plasmid_puc19c",796,797,0,0,1
"plasmid_puc19c",822,823,50,1,1
"plasmid_puc19c",833,834,50,1,1
"plasmid_puc19c",839,840,0,0,2
"plasmid_puc19c",850,851,100,2,0
"plasmid_puc19c",858,859,50,1,1
"plasmid_puc19c",878,879,0,0,2
"plasmid_puc19c",886,887,33,1,2
"plasmid_puc19c",918,919,50,1,1
"plasmid_puc19c",933,934,0,0,2
"plasmid_puc19c",937,938,0,0,2
"plasmid_puc19c",954,955,0,0,1
"plasmid_puc19c",967,968,0,0,1
"plasmid_puc19c",991,992,0,0,1
"plasmid_puc19c",993,994,0,0,1
"plasmid_puc19c",996,997,0,0,1
"plasmid_puc19c",1002,1003,0,0,1
