chrom	start	end	percent_methylation	methylated_reads	unmethylated_reads	read_depth	per_base_coverage
OR482510.1	1987	1988	0	0	1	1	1
OR482510.1	2006	2007	0	0	1	1	1
OR482510.1	2026	2027	0	0	1	1	1
OR482510.1	2058	2059	0	0	1	1	1
OR482510.1	2084	2085	0	0	1	1	1
OR482510.1	2088	2089	0	0	1	1	1
OR482510.1	2090	2091	0	0	1	1	1
OR482510.1	2160	2161	0	0	2	2	2
OR482510.1	2207	2208	0	0	3	3	3
OR482510.1	2217	2218	0	0	3	3	3
OR482510.1	2236	2237	0	0	4	4	4
OR482510.1	2340	2341	0	0	3	3	3
OR482510.1	2344	2345	0	0	3	3	3
OR482510.1	2346	2347	0	0	3	3	3
OR482510.1	2367	2368	0	0	2	2	2
OR482510.1	2403	2404	0	0	2	2	2
OR482510.1	10618	10619	0	0	1	1	1
OR482510.1	10631	10632	0	0	1	1	1
OR482510.1	10637	10638	0	0	1	1	1
OR482510.1	10690	10691	0	0	1	1	1
OR482510.1	10763	10764	0	0	1	1	1
OR482510.1	10784	10785	0	0	1	1	1
OR482510.1	11043	11044	0	0	3	3	3
OR482510.1	11083	11084	0	0	2	2	2
OR482510.1	11093	11094	0	0	2	2	2
OR482510.1	11152	11153	0	0	2	2	2
OR482510.1	11184	11185	0	0	1	1	1
OR482510.1	11192	11193	0	0	1	1	1
OR482510.1	12313	12314	0	0	1	1	1
OR482510.1	12444	12445	0	0	6	6	6
OR482510.1	12448	12449	0	0	6	6	6
OR482510.1	12452	12453	0	0	6	6	6
OR482510.1	12467	12468	50	3	3	6	6
OR482510.1	12480	12481	60	3	2	5	5
OR482510.1	12493	12494	0	0	4	4	4
OR482510.1	12498	12499	0	0	4	4	4
OR482510.1	12543	12544	50	1	1	2	2
OR482510.1	12624	12625	0	0	1	1	1
OR482510.1	12627	12628	0	0	1	1	1
OR482510.1	12641	12642	0	0	1	1	1
OR482510.1	12695	12696	0	0	2	2	2
OR482510.1	12735	12736	0	0	1	1	1
OR482510.1	12754	12755	0	0	1	1	1
OR482510.1	12821	12822	0	0	1	1	1
OR482510.1	12824	12825	0	0	1	1	1
OR482510.1	13477	13478	0	0	1	1	1
OR482510.1	13577	13578	0	0	1	1	1
OR482510.1	13657	13658	0	0	1	1	1
OR482510.1	13787	13788	0	0	5	5	5
OR482510.1	13799	13800	0	0	5	5	5
OR482510.1	13811	13812	0	0	5	5	5
OR482510.1	13823	13824	0	0	4	4	4
OR482510.1	13867	13868	0	0	3	3	3
OR482510.1	13909	13910	0	0	2	2	2
OR482510.1	15398	15399	0	0	1	1	1
OR482510.1	15421	15422	0	0	1	1	1
OR482510.1	15425	15426	0	0	1	1	1
OR482510.1	15443	15444	0	0	1	1	1
OR482510.1	15803	15804	0	0	10	10	10
OR482510.1	15856	15857	0	0	12	12	12
OR482510.1	15860	15861	50	6	6	12	12
OR482510.1	15951	15952	0	0	4	4	4
OR482510.1	15980	15981	0	0	2	2	2
OR482510.1	16126	16127	0	0	1	1	1
OR482510.1	16132	16133	0	0	1	1	1
OR482510.1	16144	16145	0	0	1	1	1
OR482510.1	16148	16149	0	0	1	1	1
OR482510.1	16160	16161	0	0	1	1	1
