"","chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads","context","total_reads"
"1","phage_lambda",134,135,0,0,1,"CpG",1
"2","phage_lambda",154,155,0,0,1,"CpG",1
"3","phage_lambda",155,156,100,1,0,"CpG",1
"4","phage_lambda",177,178,0,0,1,"CpG",1
"5","phage_lambda",178,179,0,0,1,"CpG",1
"6","phage_lambda",225,226,0,0,1,"CpG",1
"7","phage_lambda",226,227,0,0,1,"CpG",1
"8","phage_lambda",230,231,0,0,1,"CpG",1
"9","phage_lambda",231,232,0,0,1,"CpG",1
"10","phage_lambda",238,239,0,0,1,"CpG",1
"11","phage_lambda",239,240,0,0,1,"CpG",1
"12","phage_lambda",273,274,0,0,2,"CpG",2
"13","phage_lambda",274,275,0,0,1,"CpG",1
"14","phage_lambda",280,281,0,0,2,"CpG",2
"15","phage_lambda",281,282,0,0,1,"CpG",1
"16","phage_lambda",285,286,0,0,2,"CpG",2
"17","phage_lambda",286,287,0,0,1,"CpG",1
"18","phage_lambda",321,322,0,0,2,"CpG",2
"19","phage_lambda",322,323,0,0,1,"CpG",1
"20","phage_lambda",324,325,0,0,2,"CpG",2
"21","phage_lambda",325,326,0,0,1,"CpG",1
"22","phage_lambda",342,343,0,0,2,"CpG",2
"23","phage_lambda",343,344,0,0,1,"CpG",1
"24","phage_lambda",366,367,0,0,2,"CpG",2
"25","phage_lambda",376,377,0,0,1,"CpG",1
"26","phage_lambda",377,378,0,0,1,"CpG",1
"27","phage_lambda",379,380,0,0,1,"CpG",1
"28","phage_lambda",380,381,0,0,1,"CpG",1
"29","phage_lambda",397,398,0,0,1,"CpG",1
"30","phage_lambda",398,399,0,0,1,"CpG",1
"31","phage_lambda",409,410,0,0,1,"CpG",1
"32","phage_lambda",441,442,0,0,1,"CpG",1
"33","phage_lambda",442,443,0,0,1,"CpG",1
"34","phage_lambda",445,446,0,0,1,"CpG",1
"35","phage_lambda",446,447,0,0,1,"CpG",1
"36","phage_lambda",451,452,0,0,1,"CpG",1
"37","phage_lambda",452,453,0,0,1,"CpG",1
"38","phage_lambda",458,459,0,0,1,"CpG",1
"39","phage_lambda",459,460,0,0,1,"CpG",1
"40","phage_lambda",460,461,0,0,1,"CpG",1
"41","phage_lambda",461,462,0,0,1,"CpG",1
"42","phage_lambda",464,465,0,0,1,"CpG",1
"43","phage_lambda",465,466,0,0,1,"CpG",1
"44","phage_lambda",471,472,0,0,1,"CpG",1
"45","phage_lambda",472,473,0,0,1,"CpG",1
"46","phage_lambda",474,475,0,0,1,"CpG",1
"47","phage_lambda",475,476,0,0,1,"CpG",1
"48","phage_lambda",504,505,0,0,1,"CpG",1
"49","phage_lambda",505,506,0,0,1,"CpG",1
"50","phage_lambda",522,523,0,0,1,"CpG",1
"51","phage_lambda",523,524,0,0,1,"CpG",1
